1101 Eucaliptos Norte - SoilR40 A 10 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 20 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 30 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 40 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 50 cm #1101[%],,1101 Eucaliptos Norte - SoilR40 A 60 cm #1101[%],
2020-06-23 09:27:30.0,16.57,2020-06-23 08:57:30.0,10.12,2020-06-23 08:57:30.0,10.78,2020-06-23 08:57:30.0,11.4,2020-06-23 08:57:30.0,12.72,2020-06-23 08:57:30.0,10.61
2020-06-23 09:57:42.0,16.38,2020-06-23 09:27:30.0,10.1,2020-06-23 09:27:30.0,10.79,2020-06-23 09:27:30.0,11.41,2020-06-23 09:27:30.0,12.7,2020-06-23 09:27:30.0,10.61
2020-06-23 10:27:42.0,16.24,2020-06-23 09:57:42.0,10.06,2020-06-23 09:57:42.0,10.8,2020-06-23 09:57:42.0,11.41,2020-06-23 09:57:42.0,12.65,2020-06-23 09:57:42.0,10.61
2020-06-23 10:57:42.0,16.1,2020-06-23 10:27:42.0,10.01,2020-06-23 10:27:42.0,10.79,2020-06-23 10:27:42.0,11.42,2020-06-23 10:27:42.0,12.53,2020-06-23 10:27:42.0,10.61
2020-06-23 11:27:42.0,15.95,2020-06-23 10:57:42.0,9.96,2020-06-23 10:57:42.0,10.79,2020-06-23 10:57:42.0,11.42,2020-06-23 10:57:42.0,12.68,2020-06-23 10:57:42.0,10.61
2020-06-23 11:57:42.0,15.84,2020-06-23 11:27:42.0,9.92,2020-06-23 11:27:42.0,10.77,2020-06-23 11:27:42.0,11.42,2020-06-23 11:27:42.0,12.67,2020-06-23 11:27:42.0,10.61
2020-06-23 12:27:42.0,15.73,2020-06-23 11:57:42.0,9.83,2020-06-23 11:57:42.0,10.75,2020-06-23 11:57:42.0,11.42,2020-06-23 11:57:42.0,12.64,2020-06-23 11:57:42.0,10.62
2020-06-23 12:57:42.0,15.56,2020-06-23 12:27:42.0,9.72,2020-06-23 12:27:42.0,10.72,2020-06-23 12:27:42.0,11.42,2020-06-23 12:27:42.0,12.63,2020-06-23 12:27:42.0,10.62
2020-06-23 13:28:22.0,15.45,2020-06-23 12:57:42.0,9.63,2020-06-23 12:57:42.0,10.69,2020-06-23 12:57:42.0,11.41,2020-06-23 12:57:42.0,12.63,2020-06-23 12:57:42.0,10.62
2020-06-23 13:58:22.0,15.41,2020-06-23 13:28:22.0,9.53,2020-06-23 13:28:22.0,10.71,2020-06-23 13:28:22.0,11.41,2020-06-23 13:28:22.0,12.61,2020-06-23 13:28:22.0,10.62
2020-06-23 14:28:22.0,15.22,2020-06-23 13:58:22.0,9.43,2020-06-23 13:58:22.0,10.69,2020-06-23 13:58:22.0,11.4,2020-06-23 13:58:22.0,12.61,2020-06-23 13:58:22.0,10.62
2020-06-23 14:58:22.0,15.17,2020-06-23 14:28:22.0,9.33,2020-06-23 14:28:22.0,10.65,2020-06-23 14:28:22.0,11.4,2020-06-23 14:28:22.0,12.6,2020-06-23 14:28:22.0,10.62
2020-06-23 15:28:22.0,14.96,2020-06-23 14:58:22.0,9.24,2020-06-23 14:58:22.0,10.61,2020-06-23 14:58:22.0,11.38,2020-06-23 14:58:22.0,12.6,2020-06-23 14:58:22.0,10.62
2020-06-23 15:58:22.0,14.85,2020-06-23 15:28:22.0,9.17,2020-06-23 15:28:22.0,10.56,2020-06-23 15:28:22.0,11.36,2020-06-23 15:28:22.0,12.6,2020-06-23 15:28:22.0,10.62
2020-06-23 16:28:58.0,14.84,2020-06-23 15:58:22.0,9.06,2020-06-23 15:58:22.0,10.52,2020-06-23 15:58:22.0,11.34,2020-06-23 15:58:22.0,12.65,2020-06-23 15:58:22.0,10.62
2020-06-23 16:58:58.0,14.76,2020-06-23 16:28:58.0,8.97,2020-06-23 16:28:58.0,10.47,2020-06-23 16:28:58.0,11.31,2020-06-23 16:28:58.0,12.63,2020-06-23 16:28:58.0,10.62
2020-06-23 17:28:58.0,14.69,2020-06-23 16:58:58.0,8.89,2020-06-23 16:58:58.0,10.36,2020-06-23 16:58:58.0,11.28,2020-06-23 16:58:58.0,12.65,2020-06-23 16:58:58.0,10.61
2020-06-23 17:58:58.0,14.63,2020-06-23 17:28:58.0,8.83,2020-06-23 17:28:58.0,10.33,2020-06-23 17:28:58.0,11.24,2020-06-23 17:28:58.0,12.65,2020-06-23 17:28:58.0,10.6
2020-06-23 18:28:58.0,14.59,2020-06-23 17:58:58.0,8.78,2020-06-23 17:58:58.0,10.29,2020-06-23 17:58:58.0,11.21,2020-06-23 17:58:58.0,12.61,2020-06-23 17:58:58.0,10.6
2020-06-23 18:58:58.0,14.56,2020-06-23 18:28:58.0,8.73,2020-06-23 18:28:58.0,10.23,2020-06-23 18:28:58.0,11.19,2020-06-23 18:28:58.0,12.65,2020-06-23 18:28:58.0,10.6
2020-06-23 19:29:18.0,14.46,2020-06-23 18:58:58.0,8.7,2020-06-23 18:58:58.0,10.2,2020-06-23 18:58:58.0,11.18,2020-06-23 18:58:58.0,12.65,2020-06-23 18:58:58.0,10.59
2020-06-23 19:59:18.0,14.46,2020-06-23 19:29:18.0,8.67,2020-06-23 19:29:18.0,10.16,2020-06-23 19:29:18.0,11.17,2020-06-23 19:29:18.0,12.65,2020-06-23 19:29:18.0,10.59
2020-06-23 20:29:18.0,14.51,2020-06-23 19:59:18.0,8.66,2020-06-23 19:59:18.0,10.13,2020-06-23 19:59:18.0,11.15,2020-06-23 19:59:18.0,12.61,2020-06-23 19:59:18.0,10.59
2020-06-23 20:59:18.0,14.58,2020-06-23 20:29:18.0,8.65,2020-06-23 20:29:18.0,10.12,2020-06-23 20:29:18.0,11.15,2020-06-23 20:29:18.0,12.67,2020-06-23 20:29:18.0,10.58
2020-06-23 21:29:18.0,14.59,2020-06-23 20:59:18.0,8.64,2020-06-23 20:59:18.0,10.14,2020-06-23 20:59:18.0,11.14,2020-06-23 20:59:18.0,12.73,2020-06-23 20:59:18.0,10.57
2020-06-23 21:59:18.0,14.61,2020-06-23 21:29:18.0,8.64,2020-06-23 21:29:18.0,10.13,2020-06-23 21:29:18.0,11.14,2020-06-23 21:29:18.0,12.76,2020-06-23 21:29:18.0,10.56
2020-06-23 22:29:38.0,14.62,2020-06-23 21:59:18.0,8.65,2020-06-23 21:59:18.0,10.11,2020-06-23 21:59:18.0,11.13,2020-06-23 21:59:18.0,12.77,2020-06-23 21:59:18.0,10.55
2020-06-23 22:59:38.0,14.56,2020-06-23 22:29:38.0,8.67,2020-06-23 22:29:38.0,10.11,2020-06-23 22:29:38.0,11.12,2020-06-23 22:29:38.0,12.78,2020-06-23 22:29:38.0,10.55
2020-06-23 23:29:38.0,14.57,2020-06-23 22:59:38.0,8.68,2020-06-23 22:59:38.0,10.1,2020-06-23 22:59:38.0,11.12,2020-06-23 22:59:38.0,12.78,2020-06-23 22:59:38.0,10.53
2020-06-23 23:59:38.0,14.61,2020-06-23 23:29:38.0,8.7,2020-06-23 23:29:38.0,10.1,2020-06-23 23:29:38.0,11.11,2020-06-23 23:29:38.0,12.77,2020-06-23 23:29:38.0,10.52
2020-06-24 00:29:38.0,14.65,2020-06-23 23:59:38.0,8.72,2020-06-23 23:59:38.0,10.07,2020-06-23 23:59:38.0,11.11,2020-06-23 23:59:38.0,12.76,2020-06-23 23:59:38.0,10.52
2020-06-24 00:59:38.0,14.63,2020-06-24 00:29:38.0,8.75,2020-06-24 00:29:38.0,10.03,2020-06-24 00:29:38.0,11.11,2020-06-24 00:29:38.0,12.76,2020-06-24 00:29:38.0,10.51
2020-06-24 01:29:56.0,14.67,2020-06-24 00:59:38.0,8.77,2020-06-24 00:59:38.0,10.03,2020-06-24 00:59:38.0,11.11,2020-06-24 00:59:38.0,12.76,2020-06-24 00:59:38.0,10.5
2020-06-24 01:59:56.0,14.68,2020-06-24 01:29:56.0,8.82,2020-06-24 01:29:56.0,10.04,2020-06-24 01:29:56.0,11.1,2020-06-24 01:29:56.0,12.75,2020-06-24 01:29:56.0,10.49
2020-06-24 02:29:56.0,15.3,2020-06-24 01:59:56.0,8.84,2020-06-24 01:59:56.0,10.04,2020-06-24 01:59:56.0,11.1,2020-06-24 01:59:56.0,12.75,2020-06-24 01:59:56.0,10.49
2020-06-24 02:59:56.0,16.73,2020-06-24 02:29:56.0,8.76,2020-06-24 02:29:56.0,10.03,2020-06-24 02:29:56.0,11.14,2020-06-24 02:29:56.0,12.8,2020-06-24 02:29:56.0,10.48
2020-06-24 03:29:56.0,17.77,2020-06-24 02:59:56.0,8.78,2020-06-24 02:59:56.0,10.03,2020-06-24 02:59:56.0,11.13,2020-06-24 02:59:56.0,12.79,2020-06-24 02:59:56.0,10.47
2020-06-24 03:59:56.0,18.62,2020-06-24 03:29:56.0,8.84,2020-06-24 03:29:56.0,10.04,2020-06-24 03:29:56.0,11.13,2020-06-24 03:29:56.0,12.78,2020-06-24 03:29:56.0,10.47
2020-06-24 04:30:14.0,19.09,2020-06-24 03:59:56.0,8.91,2020-06-24 03:59:56.0,10.07,2020-06-24 03:59:56.0,11.14,2020-06-24 03:59:56.0,12.77,2020-06-24 03:59:56.0,10.46
2020-06-24 05:00:14.0,19.47,2020-06-24 04:30:14.0,9,2020-06-24 04:30:14.0,10.1,2020-06-24 04:30:14.0,11.14,2020-06-24 04:30:14.0,12.76,2020-06-24 04:30:14.0,10.46
2020-06-24 05:30:14.0,19.74,2020-06-24 05:00:14.0,9.13,2020-06-24 05:00:14.0,10.11,2020-06-24 05:00:14.0,11.13,2020-06-24 05:00:14.0,12.76,2020-06-24 05:00:14.0,10.46
2020-06-24 06:00:14.0,19.96,2020-06-24 05:30:14.0,9.28,2020-06-24 05:30:14.0,10.1,2020-06-24 05:30:14.0,11.13,2020-06-24 05:30:14.0,12.75,2020-06-24 05:30:14.0,10.46
2020-06-24 06:30:14.0,20.14,2020-06-24 06:00:14.0,9.45,2020-06-24 06:00:14.0,10.13,2020-06-24 06:00:14.0,11.13,2020-06-24 06:00:14.0,12.75,2020-06-24 06:00:14.0,10.46
2020-06-24 07:00:14.0,20.27,2020-06-24 06:30:14.0,9.61,2020-06-24 06:30:14.0,10.21,2020-06-24 06:30:14.0,11.13,2020-06-24 06:30:14.0,12.75,2020-06-24 06:30:14.0,10.46
2020-06-24 07:30:34.0,20.37,2020-06-24 07:00:14.0,9.77,2020-06-24 07:00:14.0,10.25,2020-06-24 07:00:14.0,11.14,2020-06-24 07:00:14.0,12.63,2020-06-24 07:00:14.0,10.45
2020-06-24 08:00:34.0,20.42,2020-06-24 07:30:34.0,9.96,2020-06-24 07:30:34.0,10.28,2020-06-24 07:30:34.0,11.14,2020-06-24 07:30:34.0,12.54,2020-06-24 07:30:34.0,10.46
2020-06-24 08:30:34.0,20.42,2020-06-24 08:00:34.0,10.11,2020-06-24 08:00:34.0,10.31,2020-06-24 08:00:34.0,11.14,2020-06-24 08:00:34.0,12.64,2020-06-24 08:00:34.0,10.46
2020-06-24 09:00:34.0,20.37,2020-06-24 08:30:34.0,10.23,2020-06-24 08:30:34.0,10.35,2020-06-24 08:30:34.0,11.14,2020-06-24 08:30:34.0,12.61,2020-06-24 08:30:34.0,10.46
2020-06-24 09:30:34.0,20.31,2020-06-24 09:00:34.0,10.33,2020-06-24 09:00:34.0,10.38,2020-06-24 09:00:34.0,11.14,2020-06-24 09:00:34.0,12.6,2020-06-24 09:00:34.0,10.46
2020-06-24 10:00:34.0,20.18,2020-06-24 09:30:34.0,10.41,2020-06-24 09:30:34.0,10.42,2020-06-24 09:30:34.0,11.14,2020-06-24 09:30:34.0,12.6,2020-06-24 09:30:34.0,10.47
2020-06-24 10:30:50.0,20.03,2020-06-24 10:00:34.0,10.47,2020-06-24 10:00:34.0,10.45,2020-06-24 10:00:34.0,11.15,2020-06-24 10:00:34.0,12.6,2020-06-24 10:00:34.0,10.48
2020-06-24 11:00:50.0,19.85,2020-06-24 10:30:50.0,10.51,2020-06-24 10:30:50.0,10.48,2020-06-24 10:30:50.0,11.15,2020-06-24 10:30:50.0,12.58,2020-06-24 10:30:50.0,10.47
2020-06-24 11:30:50.0,19.65,2020-06-24 11:00:50.0,10.53,2020-06-24 11:00:50.0,10.51,2020-06-24 11:00:50.0,11.16,2020-06-24 11:00:50.0,12.58,2020-06-24 11:00:50.0,10.48
2020-06-24 12:00:50.0,19.45,2020-06-24 11:30:50.0,10.53,2020-06-24 11:30:50.0,10.53,2020-06-24 11:30:50.0,11.16,2020-06-24 11:30:50.0,12.55,2020-06-24 11:30:50.0,10.48
2020-06-24 12:30:50.0,19.25,2020-06-24 12:00:50.0,10.52,2020-06-24 12:00:50.0,10.54,2020-06-24 12:00:50.0,11.17,2020-06-24 12:00:50.0,12.54,2020-06-24 12:00:50.0,10.48
2020-06-24 13:00:50.0,19.04,2020-06-24 12:30:50.0,10.48,2020-06-24 12:30:50.0,10.56,2020-06-24 12:30:50.0,11.17,2020-06-24 12:30:50.0,12.53,2020-06-24 12:30:50.0,10.48
2020-06-24 13:31:10.0,18.84,2020-06-24 13:00:50.0,10.44,2020-06-24 13:00:50.0,10.56,2020-06-24 13:00:50.0,11.18,2020-06-24 13:00:50.0,12.53,2020-06-24 13:00:50.0,10.49
2020-06-24 14:01:10.0,18.63,2020-06-24 13:31:10.0,10.36,2020-06-24 13:31:10.0,10.57,2020-06-24 13:31:10.0,11.18,2020-06-24 13:31:10.0,12.52,2020-06-24 13:31:10.0,10.48
2020-06-24 14:31:10.0,18.36,2020-06-24 14:01:10.0,10.3,2020-06-24 14:01:10.0,10.57,2020-06-24 14:01:10.0,11.18,2020-06-24 14:01:10.0,12.51,2020-06-24 14:01:10.0,10.48
2020-06-24 15:01:10.0,18.1,2020-06-24 14:31:10.0,10.24,2020-06-24 14:31:10.0,10.56,2020-06-24 14:31:10.0,11.17,2020-06-24 14:31:10.0,12.53,2020-06-24 14:31:10.0,10.49
2020-06-24 15:31:10.0,17.9,2020-06-24 15:01:10.0,10.17,2020-06-24 15:01:10.0,10.55,2020-06-24 15:01:10.0,11.17,2020-06-24 15:01:10.0,12.51,2020-06-24 15:01:10.0,10.49
2020-06-24 16:01:10.0,17.72,2020-06-24 15:31:10.0,10.1,2020-06-24 15:31:10.0,10.53,2020-06-24 15:31:10.0,11.16,2020-06-24 15:31:10.0,12.51,2020-06-24 15:31:10.0,10.49
2020-06-24 16:31:28.0,17.55,2020-06-24 16:01:10.0,10.03,2020-06-24 16:01:10.0,10.52,2020-06-24 16:01:10.0,11.16,2020-06-24 16:01:10.0,12.51,2020-06-24 16:01:10.0,10.49
2020-06-24 17:01:28.0,17.41,2020-06-24 16:31:28.0,9.96,2020-06-24 16:31:28.0,10.5,2020-06-24 16:31:28.0,11.15,2020-06-24 16:31:28.0,12.51,2020-06-24 16:31:28.0,10.49
2020-06-24 17:31:28.0,17.29,2020-06-24 17:01:28.0,9.9,2020-06-24 17:01:28.0,10.49,2020-06-24 17:01:28.0,11.15,2020-06-24 17:01:28.0,12.52,2020-06-24 17:01:28.0,10.48
2020-06-24 18:01:28.0,17.19,2020-06-24 17:31:28.0,9.85,2020-06-24 17:31:28.0,10.47,2020-06-24 17:31:28.0,11.14,2020-06-24 17:31:28.0,12.55,2020-06-24 17:31:28.0,10.49
2020-06-24 18:31:28.0,17.1,2020-06-24 18:01:28.0,9.83,2020-06-24 18:01:28.0,10.39,2020-06-24 18:01:28.0,11.14,2020-06-24 18:01:28.0,12.54,2020-06-24 18:01:28.0,10.48
2020-06-24 19:01:28.0,17.03,2020-06-24 18:31:28.0,9.79,2020-06-24 18:31:28.0,10.36,2020-06-24 18:31:28.0,11.14,2020-06-24 18:31:28.0,12.49,2020-06-24 18:31:28.0,10.48
2020-06-24 19:31:48.0,16.99,2020-06-24 19:01:28.0,9.76,2020-06-24 19:01:28.0,10.35,2020-06-24 19:01:28.0,11.14,2020-06-24 19:01:28.0,12.35,2020-06-24 19:01:28.0,10.48
2020-06-24 20:01:48.0,16.98,2020-06-24 19:31:48.0,9.74,2020-06-24 19:31:48.0,10.33,2020-06-24 19:31:48.0,11.13,2020-06-24 19:31:48.0,12.55,2020-06-24 19:31:48.0,10.47
2020-06-24 20:31:48.0,17,2020-06-24 20:01:48.0,9.72,2020-06-24 20:01:48.0,10.32,2020-06-24 20:01:48.0,11.13,2020-06-24 20:01:48.0,12.5,2020-06-24 20:01:48.0,10.47
2020-06-24 21:01:48.0,17.06,2020-06-24 20:31:48.0,9.71,2020-06-24 20:31:48.0,10.31,2020-06-24 20:31:48.0,11.12,2020-06-24 20:31:48.0,12.56,2020-06-24 20:31:48.0,10.47
2020-06-24 21:31:48.0,17.15,2020-06-24 21:01:48.0,9.69,2020-06-24 21:01:48.0,10.29,2020-06-24 21:01:48.0,11.12,2020-06-24 21:01:48.0,12.62,2020-06-24 21:01:48.0,10.46
2020-06-24 22:01:48.0,17.19,2020-06-24 21:31:48.0,9.68,2020-06-24 21:31:48.0,10.29,2020-06-24 21:31:48.0,11.12,2020-06-24 21:31:48.0,12.64,2020-06-24 21:31:48.0,10.46
2020-06-24 22:32:06.0,17.21,2020-06-24 22:01:48.0,9.7,2020-06-24 22:01:48.0,10.29,2020-06-24 22:01:48.0,11.12,2020-06-24 22:01:48.0,12.64,2020-06-24 22:01:48.0,10.45
2020-06-24 23:02:06.0,17.22,2020-06-24 22:32:06.0,9.71,2020-06-24 22:32:06.0,10.29,2020-06-24 22:32:06.0,11.12,2020-06-24 22:32:06.0,12.66,2020-06-24 22:32:06.0,10.45
2020-06-24 23:32:06.0,17.24,2020-06-24 23:02:06.0,9.73,2020-06-24 23:02:06.0,10.29,2020-06-24 23:02:06.0,11.11,2020-06-24 23:02:06.0,12.66,2020-06-24 23:02:06.0,10.45
2020-06-25 00:02:06.0,17.26,2020-06-24 23:32:06.0,9.76,2020-06-24 23:32:06.0,10.29,2020-06-24 23:32:06.0,11.11,2020-06-24 23:32:06.0,12.65,2020-06-24 23:32:06.0,10.44
2020-06-25 00:32:06.0,17.27,2020-06-25 00:02:06.0,9.78,2020-06-25 00:02:06.0,10.3,2020-06-25 00:02:06.0,11.11,2020-06-25 00:02:06.0,12.63,2020-06-25 00:02:06.0,10.44
2020-06-25 01:02:06.0,17.27,2020-06-25 00:32:06.0,9.8,2020-06-25 00:32:06.0,10.31,2020-06-25 00:32:06.0,11.11,2020-06-25 00:32:06.0,12.63,2020-06-25 00:32:06.0,10.44
2020-06-25 01:32:26.0,17.28,2020-06-25 01:02:06.0,9.81,2020-06-25 01:02:06.0,10.31,2020-06-25 01:02:06.0,11.11,2020-06-25 01:02:06.0,12.62,2020-06-25 01:02:06.0,10.43
2020-06-25 02:02:26.0,17.3,2020-06-25 01:32:26.0,9.84,2020-06-25 01:32:26.0,10.39,2020-06-25 01:32:26.0,11.11,2020-06-25 01:32:26.0,12.63,2020-06-25 01:32:26.0,10.43
2020-06-25 02:32:26.0,17.31,2020-06-25 02:02:26.0,9.87,2020-06-25 02:02:26.0,10.4,2020-06-25 02:02:26.0,11.11,2020-06-25 02:02:26.0,12.62,2020-06-25 02:02:26.0,10.43
2020-06-25 03:02:26.0,17.32,2020-06-25 02:32:26.0,9.89,2020-06-25 02:32:26.0,10.41,2020-06-25 02:32:26.0,11.11,2020-06-25 02:32:26.0,12.63,2020-06-25 02:32:26.0,10.43
2020-06-25 03:32:26.0,17.33,2020-06-25 03:02:26.0,9.92,2020-06-25 03:02:26.0,10.41,2020-06-25 03:02:26.0,11.11,2020-06-25 03:02:26.0,12.62,2020-06-25 03:02:26.0,10.42
2020-06-25 04:02:26.0,17.33,2020-06-25 03:32:26.0,9.94,2020-06-25 03:32:26.0,10.43,2020-06-25 03:32:26.0,11.11,2020-06-25 03:32:26.0,12.62,2020-06-25 03:32:26.0,10.43
2020-06-25 04:32:46.0,17.34,2020-06-25 04:02:26.0,10,2020-06-25 04:02:26.0,10.44,2020-06-25 04:02:26.0,11.11,2020-06-25 04:02:26.0,12.62,2020-06-25 04:02:26.0,10.43
2020-06-25 05:02:46.0,17.35,2020-06-25 04:32:46.0,10,2020-06-25 04:32:46.0,10.45,2020-06-25 04:32:46.0,11.12,2020-06-25 04:32:46.0,12.63,2020-06-25 04:32:46.0,10.42
2020-06-25 05:32:46.0,17.35,2020-06-25 05:02:46.0,10,2020-06-25 05:02:46.0,10.46,2020-06-25 05:02:46.0,11.12,2020-06-25 05:02:46.0,12.62,2020-06-25 05:02:46.0,10.43
2020-06-25 06:02:46.0,17.35,2020-06-25 05:32:46.0,10.01,2020-06-25 05:32:46.0,10.47,2020-06-25 05:32:46.0,11.12,2020-06-25 05:32:46.0,12.61,2020-06-25 05:32:46.0,10.43
2020-06-25 06:32:46.0,17.36,2020-06-25 06:02:46.0,10.03,2020-06-25 06:02:46.0,10.48,2020-06-25 06:02:46.0,11.13,2020-06-25 06:02:46.0,12.61,2020-06-25 06:02:46.0,10.43
2020-06-25 07:02:46.0,17.35,2020-06-25 06:32:46.0,10.04,2020-06-25 06:32:46.0,10.49,2020-06-25 06:32:46.0,11.13,2020-06-25 06:32:46.0,12.61,2020-06-25 06:32:46.0,10.43
2020-06-25 07:33:02.0,17.33,2020-06-25 07:02:46.0,10.05,2020-06-25 07:02:46.0,10.51,2020-06-25 07:02:46.0,11.14,2020-06-25 07:02:46.0,12.48,2020-06-25 07:02:46.0,10.43
2020-06-25 08:03:02.0,17.29,2020-06-25 07:33:02.0,10.07,2020-06-25 07:33:02.0,10.51,2020-06-25 07:33:02.0,11.14,2020-06-25 07:33:02.0,12.46,2020-06-25 07:33:02.0,10.44
2020-06-25 08:33:02.0,17.23,2020-06-25 08:03:02.0,10.08,2020-06-25 08:03:02.0,10.47,2020-06-25 08:03:02.0,11.16,2020-06-25 08:03:02.0,12.47,2020-06-25 08:03:02.0,10.44
2020-06-25 09:03:02.0,17.16,2020-06-25 08:33:02.0,10.09,2020-06-25 08:33:02.0,10.49,2020-06-25 08:33:02.0,11.17,2020-06-25 08:33:02.0,12.48,2020-06-25 08:33:02.0,10.44
2020-06-25 09:33:02.0,17.05,2020-06-25 09:03:02.0,10.08,2020-06-25 09:03:02.0,10.49,2020-06-25 09:03:02.0,11.18,2020-06-25 09:03:02.0,12.42,2020-06-25 09:03:02.0,10.44
2020-06-25 10:03:02.0,16.9,2020-06-25 09:33:02.0,10.07,2020-06-25 09:33:02.0,10.5,2020-06-25 09:33:02.0,11.19,2020-06-25 09:33:02.0,12.45,2020-06-25 09:33:02.0,10.45
2020-06-25 10:33:24.0,16.72,2020-06-25 10:03:02.0,10.05,2020-06-25 10:03:02.0,10.51,2020-06-25 10:03:02.0,11.2,2020-06-25 10:03:02.0,12.45,2020-06-25 10:03:02.0,10.45
2020-06-25 11:03:24.0,16.55,2020-06-25 10:33:24.0,10.01,2020-06-25 10:33:24.0,10.51,2020-06-25 10:33:24.0,11.21,2020-06-25 10:33:24.0,12.45,2020-06-25 10:33:24.0,10.46
2020-06-25 11:33:24.0,16.28,2020-06-25 11:03:24.0,9.97,2020-06-25 11:03:24.0,10.5,2020-06-25 11:03:24.0,11.22,2020-06-25 11:03:24.0,12.44,2020-06-25 11:03:24.0,10.46
2020-06-25 12:03:24.0,16.07,2020-06-25 11:33:24.0,9.92,2020-06-25 11:33:24.0,10.5,2020-06-25 11:33:24.0,11.22,2020-06-25 11:33:24.0,12.42,2020-06-25 11:33:24.0,10.47
2020-06-25 12:33:24.0,15.92,2020-06-25 12:03:24.0,9.84,2020-06-25 12:03:24.0,10.48,2020-06-25 12:03:24.0,11.22,2020-06-25 12:03:24.0,12.41,2020-06-25 12:03:24.0,10.46
2020-06-25 13:03:24.0,15.79,2020-06-25 12:33:24.0,9.78,2020-06-25 12:33:24.0,10.47,2020-06-25 12:33:24.0,11.23,2020-06-25 12:33:24.0,12.4,2020-06-25 12:33:24.0,10.47
2020-06-25 13:33:44.0,15.65,2020-06-25 13:03:24.0,9.73,2020-06-25 13:03:24.0,10.45,2020-06-25 13:03:24.0,11.22,2020-06-25 13:03:24.0,12.4,2020-06-25 13:03:24.0,10.47
2020-06-25 14:03:44.0,15.54,2020-06-25 13:33:44.0,9.62,2020-06-25 13:33:44.0,10.42,2020-06-25 13:33:44.0,11.22,2020-06-25 13:33:44.0,12.39,2020-06-25 13:33:44.0,10.47
2020-06-25 14:33:44.0,15.4,2020-06-25 14:03:44.0,9.52,2020-06-25 14:03:44.0,10.42,2020-06-25 14:03:44.0,11.2,2020-06-25 14:03:44.0,12.4,2020-06-25 14:03:44.0,10.47
2020-06-25 15:03:44.0,15.32,2020-06-25 14:33:44.0,9.43,2020-06-25 14:33:44.0,10.42,2020-06-25 14:33:44.0,11.2,2020-06-25 14:33:44.0,12.39,2020-06-25 14:33:44.0,10.47
2020-06-25 15:33:44.0,15.25,2020-06-25 15:03:44.0,9.35,2020-06-25 15:03:44.0,10.39,2020-06-25 15:03:44.0,11.18,2020-06-25 15:03:44.0,12.38,2020-06-25 15:03:44.0,10.47
2020-06-25 16:03:44.0,15.17,2020-06-25 15:33:44.0,9.26,2020-06-25 15:33:44.0,10.36,2020-06-25 15:33:44.0,11.16,2020-06-25 15:33:44.0,12.38,2020-06-25 15:33:44.0,10.48
2020-06-25 16:34:02.0,15.09,2020-06-25 16:03:44.0,9.2,2020-06-25 16:03:44.0,10.32,2020-06-25 16:03:44.0,11.14,2020-06-25 16:03:44.0,12.38,2020-06-25 16:03:44.0,10.48
2020-06-25 17:04:02.0,15.01,2020-06-25 16:34:02.0,9.12,2020-06-25 16:34:02.0,10.29,2020-06-25 16:34:02.0,11.14,2020-06-25 16:34:02.0,12.41,2020-06-25 16:34:02.0,10.48
2020-06-25 17:34:02.0,14.93,2020-06-25 17:04:02.0,9.06,2020-06-25 17:04:02.0,10.25,2020-06-25 17:04:02.0,11.13,2020-06-25 17:04:02.0,12.38,2020-06-25 17:04:02.0,10.47
2020-06-25 18:04:02.0,14.82,2020-06-25 17:34:02.0,9,2020-06-25 17:34:02.0,10.22,2020-06-25 17:34:02.0,11.12,2020-06-25 17:34:02.0,12.39,2020-06-25 17:34:02.0,10.48
2020-06-25 18:34:02.0,14.8,2020-06-25 18:04:02.0,8.94,2020-06-25 18:04:02.0,10.13,2020-06-25 18:04:02.0,11.11,2020-06-25 18:04:02.0,12.4,2020-06-25 18:04:02.0,10.47
2020-06-25 19:04:02.0,14.83,2020-06-25 18:34:02.0,8.88,2020-06-25 18:34:02.0,10.1,2020-06-25 18:34:02.0,11.11,2020-06-25 18:34:02.0,12.29,2020-06-25 18:34:02.0,10.48
2020-06-25 19:34:20.0,14.83,2020-06-25 19:04:02.0,8.84,2020-06-25 19:04:02.0,10.07,2020-06-25 19:04:02.0,11.1,2020-06-25 19:04:02.0,12.4,2020-06-25 19:04:02.0,10.47
2020-06-25 20:04:20.0,14.83,2020-06-25 19:34:20.0,8.81,2020-06-25 19:34:20.0,10.05,2020-06-25 19:34:20.0,11.09,2020-06-25 19:34:20.0,12.4,2020-06-25 19:34:20.0,10.47
2020-06-25 20:34:20.0,14.81,2020-06-25 20:04:20.0,8.8,2020-06-25 20:04:20.0,10.02,2020-06-25 20:04:20.0,11.09,2020-06-25 20:04:20.0,12.39,2020-06-25 20:04:20.0,10.47
2020-06-25 21:04:20.0,14.84,2020-06-25 20:34:20.0,8.8,2020-06-25 20:34:20.0,9.99,2020-06-25 20:34:20.0,11.09,2020-06-25 20:34:20.0,12.42,2020-06-25 20:34:20.0,10.46
2020-06-25 21:34:20.0,14.89,2020-06-25 21:04:20.0,8.81,2020-06-25 21:04:20.0,9.97,2020-06-25 21:04:20.0,11.08,2020-06-25 21:04:20.0,12.48,2020-06-25 21:04:20.0,10.46
