2079 Eucaliptos - SoilR40 A 10 cm #1201[%],,2079 Eucaliptos - SoilR40 A 20 cm #1201[%],,2079 Eucaliptos - SoilR40 A 30 cm #1201[%],,2079 Eucaliptos - SoilR40 A 40 cm #1201[%],,2079 Eucaliptos - SoilR40 A 50 cm #1201[%],,2079 Eucaliptos - SoilR40 A 60 cm #1201[%],
2019-07-14 12:09:58.0,11.57,2019-07-14 11:39:58.0,12.15,2019-07-14 11:39:58.0,14.37,2019-07-14 11:39:58.0,8.41,2019-07-14 11:39:58.0,15.48,2019-07-14 11:39:58.0,13.97
2019-07-14 12:39:58.0,11.48,2019-07-14 12:09:58.0,12.05,2019-07-14 12:09:58.0,14.34,2019-07-14 12:09:58.0,8.4,2019-07-14 12:09:58.0,15.48,2019-07-14 12:09:58.0,13.97
2019-07-14 13:10:06.0,11.42,2019-07-14 12:39:58.0,11.93,2019-07-14 12:39:58.0,14.31,2019-07-14 12:39:58.0,8.4,2019-07-14 12:39:58.0,15.48,2019-07-14 12:39:58.0,13.97
2019-07-14 13:40:06.0,11.28,2019-07-14 13:10:06.0,11.81,2019-07-14 13:10:06.0,14.28,2019-07-14 13:10:06.0,8.4,2019-07-14 13:10:06.0,15.48,2019-07-14 13:10:06.0,13.96
2019-07-14 14:10:06.0,11.13,2019-07-14 13:40:06.0,11.67,2019-07-14 13:40:06.0,14.23,2019-07-14 13:40:06.0,8.4,2019-07-14 13:40:06.0,15.48,2019-07-14 13:40:06.0,13.96
2019-07-14 14:40:06.0,10.96,2019-07-14 14:10:06.0,11.5,2019-07-14 14:10:06.0,14.18,2019-07-14 14:10:06.0,8.4,2019-07-14 14:10:06.0,15.48,2019-07-14 14:10:06.0,13.95
2019-07-14 15:10:06.0,10.82,2019-07-14 14:40:06.0,11.32,2019-07-14 14:40:06.0,14.15,2019-07-14 14:40:06.0,8.4,2019-07-14 14:40:06.0,15.48,2019-07-14 14:40:06.0,13.95
2019-07-14 15:40:06.0,10.66,2019-07-14 15:10:06.0,11.14,2019-07-14 15:10:06.0,14.09,2019-07-14 15:10:06.0,8.4,2019-07-14 15:10:06.0,15.48,2019-07-14 15:10:06.0,13.95
2019-07-14 16:10:18.0,10.5,2019-07-14 15:40:06.0,10.97,2019-07-14 15:40:06.0,14.04,2019-07-14 15:40:06.0,8.4,2019-07-14 15:40:06.0,15.48,2019-07-14 15:40:06.0,13.94
2019-07-14 16:40:18.0,10.34,2019-07-14 16:10:18.0,10.81,2019-07-14 16:10:18.0,13.98,2019-07-14 16:10:18.0,8.4,2019-07-14 16:10:18.0,15.47,2019-07-14 16:10:18.0,13.94
2019-07-14 17:10:18.0,10.19,2019-07-14 16:40:18.0,10.66,2019-07-14 16:40:18.0,13.94,2019-07-14 16:40:18.0,8.4,2019-07-14 16:40:18.0,15.47,2019-07-14 16:40:18.0,13.94
2019-07-14 17:40:18.0,10.05,2019-07-14 17:10:18.0,10.53,2019-07-14 17:10:18.0,13.89,2019-07-14 17:10:18.0,8.4,2019-07-14 17:10:18.0,15.47,2019-07-14 17:10:18.0,13.93
2019-07-14 18:10:18.0,9.92,2019-07-14 17:40:18.0,10.4,2019-07-14 17:40:18.0,13.84,2019-07-14 17:40:18.0,8.4,2019-07-14 17:40:18.0,15.47,2019-07-14 17:40:18.0,13.93
2019-07-14 18:40:18.0,9.81,2019-07-14 18:10:18.0,10.28,2019-07-14 18:10:18.0,13.79,2019-07-14 18:10:18.0,8.4,2019-07-14 18:10:18.0,15.47,2019-07-14 18:10:18.0,13.93
2019-07-14 19:10:30.0,9.7,2019-07-14 18:40:18.0,10.18,2019-07-14 18:40:18.0,13.74,2019-07-14 18:40:18.0,8.4,2019-07-14 18:40:18.0,15.46,2019-07-14 18:40:18.0,13.93
2019-07-14 19:40:30.0,9.6,2019-07-14 19:10:30.0,10.04,2019-07-14 19:10:30.0,13.69,2019-07-14 19:10:30.0,8.4,2019-07-14 19:10:30.0,15.46,2019-07-14 19:10:30.0,13.93
2019-07-14 20:10:30.0,9.51,2019-07-14 19:40:30.0,9.97,2019-07-14 19:40:30.0,13.64,2019-07-14 19:40:30.0,8.39,2019-07-14 19:40:30.0,15.46,2019-07-14 19:40:30.0,13.92
2019-07-14 20:40:30.0,9.44,2019-07-14 20:10:30.0,9.88,2019-07-14 20:10:30.0,13.6,2019-07-14 20:10:30.0,8.39,2019-07-14 20:10:30.0,15.46,2019-07-14 20:10:30.0,13.92
2019-07-14 21:10:30.0,9.38,2019-07-14 20:40:30.0,9.79,2019-07-14 20:40:30.0,13.55,2019-07-14 20:40:30.0,8.39,2019-07-14 20:40:30.0,15.45,2019-07-14 20:40:30.0,13.91
2019-07-14 21:40:30.0,9.33,2019-07-14 21:10:30.0,9.73,2019-07-14 21:10:30.0,13.52,2019-07-14 21:10:30.0,8.39,2019-07-14 21:10:30.0,15.45,2019-07-14 21:10:30.0,13.91
2019-07-14 22:10:38.0,9.28,2019-07-14 21:40:30.0,9.67,2019-07-14 21:40:30.0,13.47,2019-07-14 21:40:30.0,8.39,2019-07-14 21:40:30.0,15.45,2019-07-14 21:40:30.0,13.92
2019-07-14 22:40:38.0,9.25,2019-07-14 22:10:38.0,9.62,2019-07-14 22:10:38.0,13.43,2019-07-14 22:10:38.0,8.38,2019-07-14 22:10:38.0,15.45,2019-07-14 22:10:38.0,13.91
2019-07-14 23:10:38.0,9.22,2019-07-14 22:40:38.0,9.56,2019-07-14 22:40:38.0,13.4,2019-07-14 22:40:38.0,8.38,2019-07-14 22:40:38.0,15.45,2019-07-14 22:40:38.0,13.91
2019-07-14 23:40:38.0,9.19,2019-07-14 23:10:38.0,9.53,2019-07-14 23:10:38.0,13.37,2019-07-14 23:10:38.0,8.37,2019-07-14 23:10:38.0,15.44,2019-07-14 23:10:38.0,13.9
2019-07-15 00:10:38.0,9.18,2019-07-14 23:40:38.0,9.5,2019-07-14 23:40:38.0,13.34,2019-07-14 23:40:38.0,8.37,2019-07-14 23:40:38.0,15.44,2019-07-14 23:40:38.0,13.91
2019-07-15 00:40:38.0,9.16,2019-07-15 00:10:38.0,9.47,2019-07-15 00:10:38.0,13.31,2019-07-15 00:10:38.0,8.36,2019-07-15 00:10:38.0,15.44,2019-07-15 00:10:38.0,13.9
2019-07-15 01:10:50.0,9.14,2019-07-15 00:40:38.0,9.45,2019-07-15 00:40:38.0,13.28,2019-07-15 00:40:38.0,8.36,2019-07-15 00:40:38.0,15.44,2019-07-15 00:40:38.0,13.9
2019-07-15 01:40:50.0,9.13,2019-07-15 01:10:50.0,9.42,2019-07-15 01:10:50.0,13.26,2019-07-15 01:10:50.0,8.36,2019-07-15 01:10:50.0,15.43,2019-07-15 01:10:50.0,13.9
2019-07-15 02:10:50.0,15.62,2019-07-15 01:40:50.0,9.4,2019-07-15 01:40:50.0,13.23,2019-07-15 01:40:50.0,8.35,2019-07-15 01:40:50.0,15.43,2019-07-15 01:40:50.0,13.9
2019-07-15 02:40:50.0,18.77,2019-07-15 02:10:50.0,9.51,2019-07-15 02:10:50.0,13.16,2019-07-15 02:10:50.0,8.34,2019-07-15 02:10:50.0,15.5,2019-07-15 02:10:50.0,14.13
2019-07-15 03:10:50.0,19,2019-07-15 02:40:50.0,10.65,2019-07-15 02:40:50.0,13.15,2019-07-15 02:40:50.0,8.33,2019-07-15 02:40:50.0,15.49,2019-07-15 02:40:50.0,14.11
2019-07-15 03:40:50.0,19.05,2019-07-15 03:10:50.0,13.16,2019-07-15 03:10:50.0,13.09,2019-07-15 03:10:50.0,8.33,2019-07-15 03:10:50.0,15.47,2019-07-15 03:10:50.0,14.07
2019-07-15 04:10:58.0,19.03,2019-07-15 03:40:50.0,14,2019-07-15 03:40:50.0,13.25,2019-07-15 03:40:50.0,8.32,2019-07-15 03:40:50.0,15.46,2019-07-15 03:40:50.0,14.05
2019-07-15 04:40:58.0,18.98,2019-07-15 04:10:58.0,14.47,2019-07-15 04:10:58.0,13.76,2019-07-15 04:10:58.0,8.32,2019-07-15 04:10:58.0,15.45,2019-07-15 04:10:58.0,14.02
2019-07-15 05:10:58.0,18.93,2019-07-15 04:40:58.0,14.72,2019-07-15 04:40:58.0,14.16,2019-07-15 04:40:58.0,8.31,2019-07-15 04:40:58.0,15.44,2019-07-15 04:40:58.0,14
2019-07-15 05:40:58.0,18.87,2019-07-15 05:10:58.0,14.9,2019-07-15 05:10:58.0,14.37,2019-07-15 05:10:58.0,8.3,2019-07-15 05:10:58.0,15.44,2019-07-15 05:10:58.0,13.99
2019-07-15 06:10:58.0,18.81,2019-07-15 05:40:58.0,15.05,2019-07-15 05:40:58.0,14.52,2019-07-15 05:40:58.0,8.29,2019-07-15 05:40:58.0,15.43,2019-07-15 05:40:58.0,13.98
2019-07-15 06:40:58.0,18.74,2019-07-15 06:10:58.0,15.12,2019-07-15 06:10:58.0,14.62,2019-07-15 06:10:58.0,8.29,2019-07-15 06:10:58.0,15.43,2019-07-15 06:10:58.0,13.96
2019-07-15 07:11:10.0,18.68,2019-07-15 06:40:58.0,15.18,2019-07-15 06:40:58.0,14.7,2019-07-15 06:40:58.0,8.29,2019-07-15 06:40:58.0,15.43,2019-07-15 06:40:58.0,13.96
2019-07-15 07:41:10.0,18.62,2019-07-15 07:11:10.0,15.25,2019-07-15 07:11:10.0,14.77,2019-07-15 07:11:10.0,8.29,2019-07-15 07:11:10.0,15.42,2019-07-15 07:11:10.0,13.95
2019-07-15 08:11:10.0,18.54,2019-07-15 07:41:10.0,15.31,2019-07-15 07:41:10.0,14.83,2019-07-15 07:41:10.0,8.29,2019-07-15 07:41:10.0,15.43,2019-07-15 07:41:10.0,13.95
2019-07-15 08:41:10.0,18.44,2019-07-15 08:11:10.0,15.35,2019-07-15 08:11:10.0,14.87,2019-07-15 08:11:10.0,8.28,2019-07-15 08:11:10.0,15.42,2019-07-15 08:11:10.0,13.94
2019-07-15 09:11:10.0,18.33,2019-07-15 08:41:10.0,15.39,2019-07-15 08:41:10.0,14.92,2019-07-15 08:41:10.0,8.28,2019-07-15 08:41:10.0,15.42,2019-07-15 08:41:10.0,13.93
2019-07-15 09:41:10.0,18.17,2019-07-15 09:11:10.0,15.41,2019-07-15 09:11:10.0,14.95,2019-07-15 09:11:10.0,8.28,2019-07-15 09:11:10.0,15.42,2019-07-15 09:11:10.0,13.93
2019-07-15 10:11:18.0,17.94,2019-07-15 09:41:10.0,15.39,2019-07-15 09:41:10.0,14.98,2019-07-15 09:41:10.0,8.28,2019-07-15 09:41:10.0,15.42,2019-07-15 09:41:10.0,13.93
2019-07-15 10:41:18.0,17.64,2019-07-15 10:11:18.0,15.33,2019-07-15 10:11:18.0,15,2019-07-15 10:11:18.0,8.29,2019-07-15 10:11:18.0,15.41,2019-07-15 10:11:18.0,13.91
2019-07-15 11:11:18.0,17.3,2019-07-15 10:41:18.0,15.25,2019-07-15 10:41:18.0,15,2019-07-15 10:41:18.0,8.29,2019-07-15 10:41:18.0,15.41,2019-07-15 10:41:18.0,13.9
2019-07-15 11:41:18.0,16.94,2019-07-15 11:11:18.0,15.12,2019-07-15 11:11:18.0,14.99,2019-07-15 11:11:18.0,8.3,2019-07-15 11:11:18.0,15.4,2019-07-15 11:11:18.0,13.9
2019-07-15 12:11:18.0,16.56,2019-07-15 11:41:18.0,14.95,2019-07-15 11:41:18.0,14.98,2019-07-15 11:41:18.0,8.3,2019-07-15 11:41:18.0,15.4,2019-07-15 11:41:18.0,13.9
2019-07-15 12:41:18.0,16.16,2019-07-15 12:11:18.0,14.78,2019-07-15 12:11:18.0,14.95,2019-07-15 12:11:18.0,8.32,2019-07-15 12:11:18.0,15.4,2019-07-15 12:11:18.0,13.9
2019-07-15 13:11:28.0,15.74,2019-07-15 12:41:18.0,14.54,2019-07-15 12:41:18.0,14.91,2019-07-15 12:41:18.0,8.33,2019-07-15 12:41:18.0,15.4,2019-07-15 12:41:18.0,13.9
2019-07-15 13:41:28.0,15.32,2019-07-15 13:11:28.0,14.3,2019-07-15 13:11:28.0,14.86,2019-07-15 13:11:28.0,8.34,2019-07-15 13:11:28.0,15.4,2019-07-15 13:11:28.0,13.9
2019-07-15 14:11:28.0,14.92,2019-07-15 13:41:28.0,14.08,2019-07-15 13:41:28.0,14.8,2019-07-15 13:41:28.0,8.35,2019-07-15 13:41:28.0,15.4,2019-07-15 13:41:28.0,13.9
2019-07-15 14:41:28.0,14.48,2019-07-15 14:11:28.0,13.86,2019-07-15 14:11:28.0,14.73,2019-07-15 14:11:28.0,8.34,2019-07-15 14:11:28.0,15.4,2019-07-15 14:11:28.0,13.89
2019-07-15 15:11:28.0,14.1,2019-07-15 14:41:28.0,13.63,2019-07-15 14:41:28.0,14.67,2019-07-15 14:41:28.0,8.35,2019-07-15 14:41:28.0,15.4,2019-07-15 14:41:28.0,13.89
2019-07-15 15:41:28.0,13.47,2019-07-15 15:11:28.0,13.41,2019-07-15 15:11:28.0,14.6,2019-07-15 15:11:28.0,8.34,2019-07-15 15:11:28.0,15.4,2019-07-15 15:11:28.0,13.89
2019-07-15 16:11:38.0,13.08,2019-07-15 15:41:28.0,13.17,2019-07-15 15:41:28.0,14.52,2019-07-15 15:41:28.0,8.33,2019-07-15 15:41:28.0,15.4,2019-07-15 15:41:28.0,13.89
2019-07-15 16:41:38.0,12.72,2019-07-15 16:11:38.0,12.9,2019-07-15 16:11:38.0,14.45,2019-07-15 16:11:38.0,8.32,2019-07-15 16:11:38.0,15.4,2019-07-15 16:11:38.0,13.89
2019-07-15 17:11:38.0,12.4,2019-07-15 16:41:38.0,12.65,2019-07-15 16:41:38.0,14.36,2019-07-15 16:41:38.0,8.31,2019-07-15 16:41:38.0,15.4,2019-07-15 16:41:38.0,13.89
2019-07-15 17:41:38.0,12.15,2019-07-15 17:11:38.0,12.41,2019-07-15 17:11:38.0,14.3,2019-07-15 17:11:38.0,8.31,2019-07-15 17:11:38.0,15.4,2019-07-15 17:11:38.0,13.89
2019-07-15 18:11:38.0,11.97,2019-07-15 17:41:38.0,12.18,2019-07-15 17:41:38.0,14.22,2019-07-15 17:41:38.0,8.31,2019-07-15 17:41:38.0,15.4,2019-07-15 17:41:38.0,13.89
2019-07-15 18:41:38.0,11.82,2019-07-15 18:11:38.0,11.96,2019-07-15 18:11:38.0,14.14,2019-07-15 18:11:38.0,8.3,2019-07-15 18:11:38.0,15.39,2019-07-15 18:11:38.0,13.89
2019-07-15 19:11:48.0,11.67,2019-07-15 18:41:38.0,11.76,2019-07-15 18:41:38.0,14.07,2019-07-15 18:41:38.0,8.3,2019-07-15 18:41:38.0,15.4,2019-07-15 18:41:38.0,13.89
2019-07-15 19:41:48.0,11.54,2019-07-15 19:11:48.0,11.58,2019-07-15 19:11:48.0,13.99,2019-07-15 19:11:48.0,8.3,2019-07-15 19:11:48.0,15.39,2019-07-15 19:11:48.0,13.89
2019-07-15 20:11:48.0,11.41,2019-07-15 19:41:48.0,11.4,2019-07-15 19:41:48.0,13.92,2019-07-15 19:41:48.0,8.29,2019-07-15 19:41:48.0,15.39,2019-07-15 19:41:48.0,13.89
2019-07-15 20:41:48.0,11.32,2019-07-15 20:11:48.0,11.25,2019-07-15 20:11:48.0,13.86,2019-07-15 20:11:48.0,8.29,2019-07-15 20:11:48.0,15.39,2019-07-15 20:11:48.0,13.89
2019-07-15 21:11:48.0,11.25,2019-07-15 20:41:48.0,11.14,2019-07-15 20:41:48.0,13.8,2019-07-15 20:41:48.0,8.29,2019-07-15 20:41:48.0,15.39,2019-07-15 20:41:48.0,13.89
2019-07-15 21:41:48.0,11.2,2019-07-15 21:11:48.0,11.06,2019-07-15 21:11:48.0,13.76,2019-07-15 21:11:48.0,8.29,2019-07-15 21:11:48.0,15.39,2019-07-15 21:11:48.0,13.89
2019-07-15 22:11:56.0,11.16,2019-07-15 21:41:48.0,10.99,2019-07-15 21:41:48.0,13.71,2019-07-15 21:41:48.0,8.29,2019-07-15 21:41:48.0,15.38,2019-07-15 21:41:48.0,13.89
2019-07-15 22:41:56.0,11.12,2019-07-15 22:11:56.0,10.94,2019-07-15 22:11:56.0,13.66,2019-07-15 22:11:56.0,8.29,2019-07-15 22:11:56.0,15.38,2019-07-15 22:11:56.0,13.89
2019-07-15 23:11:56.0,11.08,2019-07-15 22:41:56.0,10.9,2019-07-15 22:41:56.0,13.62,2019-07-15 22:41:56.0,8.28,2019-07-15 22:41:56.0,15.38,2019-07-15 22:41:56.0,13.89
2019-07-15 23:41:56.0,11.06,2019-07-15 23:11:56.0,10.85,2019-07-15 23:11:56.0,13.57,2019-07-15 23:11:56.0,8.28,2019-07-15 23:11:56.0,15.37,2019-07-15 23:11:56.0,13.89
2019-07-16 00:11:56.0,11.03,2019-07-15 23:41:56.0,10.82,2019-07-15 23:41:56.0,13.54,2019-07-15 23:41:56.0,8.27,2019-07-15 23:41:56.0,15.38,2019-07-15 23:41:56.0,13.88
2019-07-16 00:41:56.0,11.02,2019-07-16 00:11:56.0,10.79,2019-07-16 00:11:56.0,13.51,2019-07-16 00:11:56.0,8.27,2019-07-16 00:11:56.0,15.37,2019-07-16 00:11:56.0,13.88
2019-07-16 01:12:06.0,10.99,2019-07-16 00:41:56.0,10.76,2019-07-16 00:41:56.0,13.48,2019-07-16 00:41:56.0,8.27,2019-07-16 00:41:56.0,15.37,2019-07-16 00:41:56.0,13.88
2019-07-16 01:42:06.0,10.97,2019-07-16 01:12:06.0,10.74,2019-07-16 01:12:06.0,13.45,2019-07-16 01:12:06.0,8.27,2019-07-16 01:12:06.0,15.37,2019-07-16 01:12:06.0,13.88
2019-07-16 02:12:06.0,10.96,2019-07-16 01:42:06.0,10.71,2019-07-16 01:42:06.0,13.42,2019-07-16 01:42:06.0,8.26,2019-07-16 01:42:06.0,15.36,2019-07-16 01:42:06.0,13.88
2019-07-16 02:42:06.0,10.94,2019-07-16 02:12:06.0,10.69,2019-07-16 02:12:06.0,13.4,2019-07-16 02:12:06.0,8.27,2019-07-16 02:12:06.0,15.36,2019-07-16 02:12:06.0,13.87
2019-07-16 03:12:06.0,10.93,2019-07-16 02:42:06.0,10.67,2019-07-16 02:42:06.0,13.37,2019-07-16 02:42:06.0,8.26,2019-07-16 02:42:06.0,15.36,2019-07-16 02:42:06.0,13.87
2019-07-16 03:42:06.0,10.91,2019-07-16 03:12:06.0,10.65,2019-07-16 03:12:06.0,13.35,2019-07-16 03:12:06.0,8.26,2019-07-16 03:12:06.0,15.36,2019-07-16 03:12:06.0,13.88
2019-07-16 04:12:18.0,10.9,2019-07-16 03:42:06.0,10.63,2019-07-16 03:42:06.0,13.33,2019-07-16 03:42:06.0,8.26,2019-07-16 03:42:06.0,15.36,2019-07-16 03:42:06.0,13.87
2019-07-16 04:42:18.0,10.88,2019-07-16 04:12:18.0,10.61,2019-07-16 04:12:18.0,13.32,2019-07-16 04:12:18.0,8.26,2019-07-16 04:12:18.0,15.35,2019-07-16 04:12:18.0,13.87
2019-07-16 05:12:18.0,10.87,2019-07-16 04:42:18.0,10.61,2019-07-16 04:42:18.0,13.3,2019-07-16 04:42:18.0,8.26,2019-07-16 04:42:18.0,15.36,2019-07-16 04:42:18.0,13.87
2019-07-16 05:42:18.0,10.86,2019-07-16 05:12:18.0,10.59,2019-07-16 05:12:18.0,13.28,2019-07-16 05:12:18.0,8.26,2019-07-16 05:12:18.0,15.35,2019-07-16 05:12:18.0,13.87
2019-07-16 06:12:18.0,10.86,2019-07-16 05:42:18.0,10.58,2019-07-16 05:42:18.0,13.27,2019-07-16 05:42:18.0,8.26,2019-07-16 05:42:18.0,15.35,2019-07-16 05:42:18.0,13.87
2019-07-16 06:42:18.0,10.84,2019-07-16 06:12:18.0,10.56,2019-07-16 06:12:18.0,13.25,2019-07-16 06:12:18.0,8.25,2019-07-16 06:12:18.0,15.35,2019-07-16 06:12:18.0,13.87
2019-07-16 07:12:26.0,10.83,2019-07-16 06:42:18.0,10.55,2019-07-16 06:42:18.0,13.24,2019-07-16 06:42:18.0,8.26,2019-07-16 06:42:18.0,15.35,2019-07-16 06:42:18.0,13.87
2019-07-16 07:42:26.0,10.81,2019-07-16 07:12:26.0,10.53,2019-07-16 07:12:26.0,13.23,2019-07-16 07:12:26.0,8.26,2019-07-16 07:12:26.0,15.35,2019-07-16 07:12:26.0,13.87
2019-07-16 08:12:26.0,10.8,2019-07-16 07:42:26.0,10.52,2019-07-16 07:42:26.0,13.21,2019-07-16 07:42:26.0,8.26,2019-07-16 07:42:26.0,15.35,2019-07-16 07:42:26.0,13.87
2019-07-16 08:42:26.0,10.77,2019-07-16 08:12:26.0,10.51,2019-07-16 08:12:26.0,13.19,2019-07-16 08:12:26.0,8.25,2019-07-16 08:12:26.0,15.35,2019-07-16 08:12:26.0,13.86
2019-07-16 09:12:26.0,10.75,2019-07-16 08:42:26.0,10.48,2019-07-16 08:42:26.0,13.18,2019-07-16 08:42:26.0,8.25,2019-07-16 08:42:26.0,15.35,2019-07-16 08:42:26.0,13.86
2019-07-16 09:42:26.0,10.72,2019-07-16 09:12:26.0,10.47,2019-07-16 09:12:26.0,13.16,2019-07-16 09:12:26.0,8.24,2019-07-16 09:12:26.0,15.34,2019-07-16 09:12:26.0,13.85
2019-07-16 10:12:26.0,10.69,2019-07-16 09:42:26.0,10.44,2019-07-16 09:42:26.0,13.15,2019-07-16 09:42:26.0,8.25,2019-07-16 09:42:26.0,15.35,2019-07-16 09:42:26.0,13.86
2019-07-16 10:42:38.0,10.65,2019-07-16 10:12:26.0,10.4,2019-07-16 10:12:26.0,13.14,2019-07-16 10:12:26.0,8.25,2019-07-16 10:12:26.0,15.35,2019-07-16 10:12:26.0,13.86
2019-07-16 11:12:38.0,10.6,2019-07-16 10:42:38.0,10.36,2019-07-16 10:42:38.0,13.12,2019-07-16 10:42:38.0,8.25,2019-07-16 10:42:38.0,15.35,2019-07-16 10:42:38.0,13.85
2019-07-16 11:42:38.0,10.54,2019-07-16 11:12:38.0,10.32,2019-07-16 11:12:38.0,13.11,2019-07-16 11:12:38.0,8.25,2019-07-16 11:12:38.0,15.35,2019-07-16 11:12:38.0,13.85
2019-07-16 12:12:38.0,10.49,2019-07-16 11:42:38.0,10.28,2019-07-16 11:42:38.0,13.1,2019-07-16 11:42:38.0,8.25,2019-07-16 11:42:38.0,15.34,2019-07-16 11:42:38.0,13.85
2019-07-16 12:42:38.0,10.42,2019-07-16 12:12:38.0,10.24,2019-07-16 12:12:38.0,13.08,2019-07-16 12:12:38.0,8.25,2019-07-16 12:12:38.0,15.33,2019-07-16 12:12:38.0,13.85
2019-07-16 13:12:38.0,10.35,2019-07-16 12:42:38.0,10.17,2019-07-16 12:42:38.0,13.06,2019-07-16 12:42:38.0,8.25,2019-07-16 12:42:38.0,15.34,2019-07-16 12:42:38.0,13.85
2019-07-16 13:42:48.0,10.27,2019-07-16 13:12:38.0,10.11,2019-07-16 13:12:38.0,13.05,2019-07-16 13:12:38.0,8.26,2019-07-16 13:12:38.0,15.34,2019-07-16 13:12:38.0,13.85
2019-07-16 14:12:48.0,10.18,2019-07-16 13:42:48.0,10.04,2019-07-16 13:42:48.0,13.03,2019-07-16 13:42:48.0,8.25,2019-07-16 13:42:48.0,15.34,2019-07-16 13:42:48.0,13.85
2019-07-16 14:42:48.0,10.07,2019-07-16 14:12:48.0,9.95,2019-07-16 14:12:48.0,13,2019-07-16 14:12:48.0,8.25,2019-07-16 14:12:48.0,15.33,2019-07-16 14:12:48.0,13.84
2019-07-16 15:12:48.0,9.96,2019-07-16 14:42:48.0,9.84,2019-07-16 14:42:48.0,12.98,2019-07-16 14:42:48.0,8.26,2019-07-16 14:42:48.0,15.34,2019-07-16 14:42:48.0,13.83
2019-07-16 15:42:48.0,9.84,2019-07-16 15:12:48.0,9.76,2019-07-16 15:12:48.0,12.96,2019-07-16 15:12:48.0,8.25,2019-07-16 15:12:48.0,15.34,2019-07-16 15:12:48.0,13.83
2019-07-16 16:12:48.0,9.73,2019-07-16 15:42:48.0,9.65,2019-07-16 15:42:48.0,12.94,2019-07-16 15:42:48.0,8.25,2019-07-16 15:42:48.0,15.33,2019-07-16 15:42:48.0,13.83
2019-07-16 16:43:00.0,9.62,2019-07-16 16:12:48.0,9.55,2019-07-16 16:12:48.0,12.91,2019-07-16 16:12:48.0,8.25,2019-07-16 16:12:48.0,15.33,2019-07-16 16:12:48.0,13.83
2019-07-16 17:13:00.0,9.5,2019-07-16 16:43:00.0,9.44,2019-07-16 16:43:00.0,12.89,2019-07-16 16:43:00.0,8.26,2019-07-16 16:43:00.0,15.33,2019-07-16 16:43:00.0,13.82
2019-07-16 17:43:00.0,9.4,2019-07-16 17:13:00.0,9.38,2019-07-16 17:13:00.0,12.86,2019-07-16 17:13:00.0,8.26,2019-07-16 17:13:00.0,15.33,2019-07-16 17:13:00.0,13.82
2019-07-16 18:13:00.0,9.3,2019-07-16 17:43:00.0,9.23,2019-07-16 17:43:00.0,12.83,2019-07-16 17:43:00.0,8.26,2019-07-16 17:43:00.0,15.33,2019-07-16 17:43:00.0,13.82
2019-07-16 18:43:00.0,9.2,2019-07-16 18:13:00.0,9.03,2019-07-16 18:13:00.0,12.8,2019-07-16 18:13:00.0,8.25,2019-07-16 18:13:00.0,15.33,2019-07-16 18:13:00.0,13.81
2019-07-16 19:13:00.0,9.11,2019-07-16 18:43:00.0,9,2019-07-16 18:43:00.0,12.77,2019-07-16 18:43:00.0,8.25,2019-07-16 18:43:00.0,15.33,2019-07-16 18:43:00.0,13.81
2019-07-16 19:43:10.0,9.03,2019-07-16 19:13:00.0,9.04,2019-07-16 19:13:00.0,12.75,2019-07-16 19:13:00.0,8.25,2019-07-16 19:13:00.0,15.33,2019-07-16 19:13:00.0,13.81
2019-07-16 20:13:10.0,8.95,2019-07-16 19:43:10.0,8.97,2019-07-16 19:43:10.0,12.73,2019-07-16 19:43:10.0,8.25,2019-07-16 19:43:10.0,15.32,2019-07-16 19:43:10.0,13.81
2019-07-16 20:43:10.0,8.9,2019-07-16 20:13:10.0,8.92,2019-07-16 20:13:10.0,12.7,2019-07-16 20:13:10.0,8.25,2019-07-16 20:13:10.0,15.32,2019-07-16 20:13:10.0,13.81
2019-07-16 21:13:10.0,8.85,2019-07-16 20:43:10.0,8.86,2019-07-16 20:43:10.0,12.68,2019-07-16 20:43:10.0,8.25,2019-07-16 20:43:10.0,15.32,2019-07-16 20:43:10.0,13.81
2019-07-16 21:43:10.0,8.81,2019-07-16 21:13:10.0,8.81,2019-07-16 21:13:10.0,12.66,2019-07-16 21:13:10.0,8.25,2019-07-16 21:13:10.0,15.32,2019-07-16 21:13:10.0,13.81
2019-07-16 22:13:10.0,9.01,2019-07-16 21:43:10.0,8.77,2019-07-16 21:43:10.0,12.64,2019-07-16 21:43:10.0,8.24,2019-07-16 21:43:10.0,15.32,2019-07-16 21:43:10.0,13.8
2019-07-16 22:43:22.0,19.45,2019-07-16 22:13:10.0,8.7,2019-07-16 22:13:10.0,12.59,2019-07-16 22:13:10.0,8.24,2019-07-16 22:13:10.0,15.35,2019-07-16 22:13:10.0,13.9
2019-07-16 23:13:22.0,19.98,2019-07-16 22:43:22.0,9.81,2019-07-16 22:43:22.0,12.58,2019-07-16 22:43:22.0,8.22,2019-07-16 22:43:22.0,15.41,2019-07-16 22:43:22.0,14.04
2019-07-16 23:43:22.0,20.06,2019-07-16 23:13:22.0,13.29,2019-07-16 23:13:22.0,12.53,2019-07-16 23:13:22.0,8.21,2019-07-16 23:13:22.0,15.39,2019-07-16 23:13:22.0,14
2019-07-17 00:13:22.0,20.02,2019-07-16 23:43:22.0,14.32,2019-07-16 23:43:22.0,13.09,2019-07-16 23:43:22.0,8.2,2019-07-16 23:43:22.0,15.37,2019-07-16 23:43:22.0,13.95
