1161 Eucaliptos Ligeira - SoilR40 A 10 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 20 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 30 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 40 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 50 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 60 cm #1201[%],
2019-05-29 07:35:40.0,18.33,2019-05-29 07:35:40.0,22.72,2019-05-29 07:35:40.0,18.1,2019-05-29 07:35:40.0,19.95,2019-05-29 07:35:40.0,14.93,2019-05-29 07:35:40.0,12.95
2019-05-29 08:05:40.0,18.31,2019-05-29 08:05:40.0,22.68,2019-05-29 08:05:40.0,18.06,2019-05-29 08:05:40.0,19.89,2019-05-29 08:05:40.0,14.9,2019-05-29 08:05:40.0,12.93
2019-05-29 08:35:40.0,18.32,2019-05-29 08:35:40.0,22.64,2019-05-29 08:35:40.0,18,2019-05-29 08:35:40.0,19.84,2019-05-29 08:35:40.0,14.85,2019-05-29 08:35:40.0,12.91
2019-05-29 09:05:48.0,18.29,2019-05-29 09:05:48.0,22.59,2019-05-29 09:05:48.0,17.95,2019-05-29 09:05:48.0,19.8,2019-05-29 09:05:48.0,14.81,2019-05-29 09:05:48.0,12.89
2019-05-29 09:35:48.0,18.28,2019-05-29 09:35:48.0,22.61,2019-05-29 09:35:48.0,17.93,2019-05-29 09:35:48.0,19.67,2019-05-29 09:35:48.0,14.78,2019-05-29 09:35:48.0,12.88
2019-05-29 10:05:48.0,18.26,2019-05-29 10:05:48.0,22.53,2019-05-29 10:05:48.0,17.89,2019-05-29 10:05:48.0,19.61,2019-05-29 10:05:48.0,14.74,2019-05-29 10:05:48.0,12.86
2019-05-29 10:35:48.0,18.26,2019-05-29 10:35:48.0,22.49,2019-05-29 10:35:48.0,17.84,2019-05-29 10:35:48.0,19.56,2019-05-29 10:35:48.0,14.71,2019-05-29 10:35:48.0,12.84
2019-05-29 11:05:48.0,18.18,2019-05-29 11:05:48.0,22.48,2019-05-29 11:05:48.0,17.8,2019-05-29 11:05:48.0,19.51,2019-05-29 11:05:48.0,14.7,2019-05-29 11:05:48.0,12.81
2019-05-29 11:35:48.0,18.04,2019-05-29 11:35:48.0,22.39,2019-05-29 11:35:48.0,17.74,2019-05-29 11:35:48.0,19.45,2019-05-29 11:35:48.0,14.64,2019-05-29 11:35:48.0,12.8
2019-05-29 12:05:58.0,17.94,2019-05-29 12:05:58.0,22.3,2019-05-29 12:05:58.0,17.72,2019-05-29 12:05:58.0,19.41,2019-05-29 12:05:58.0,14.64,2019-05-29 12:05:58.0,12.78
