1161 Eucaliptos Ligeira - SoilR40 A 10 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 20 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 30 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 40 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 50 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 60 cm #1201[%],
2019-07-28 00:24:20.0,8.93,2019-07-28 00:24:20.0,13.56,2019-07-28 00:24:20.0,11.98,2019-07-28 00:24:20.0,11.83,2019-07-28 00:24:20.0,8.97,2019-07-28 00:24:20.0,8.12
2019-07-28 00:54:20.0,8.94,2019-07-28 00:54:20.0,13.54,2019-07-28 00:54:20.0,11.96,2019-07-28 00:54:20.0,11.83,2019-07-28 00:54:20.0,8.96,2019-07-28 00:54:20.0,8.12
2019-07-28 01:24:30.0,8.94,2019-07-28 01:24:30.0,13.53,2019-07-28 01:24:30.0,11.95,2019-07-28 01:24:30.0,11.82,2019-07-28 01:24:30.0,8.97,2019-07-28 01:24:30.0,8.12
2019-07-28 01:54:30.0,8.95,2019-07-28 01:54:30.0,13.52,2019-07-28 01:54:30.0,11.92,2019-07-28 01:54:30.0,11.81,2019-07-28 01:54:30.0,8.97,2019-07-28 01:54:30.0,8.12
2019-07-28 02:24:30.0,11.15,2019-07-28 02:24:30.0,13.9,2019-07-28 02:24:30.0,11.92,2019-07-28 02:24:30.0,11.83,2019-07-28 02:24:30.0,9.01,2019-07-28 02:24:30.0,8.17
2019-07-28 02:54:30.0,11.32,2019-07-28 02:54:30.0,14.81,2019-07-28 02:54:30.0,13.34,2019-07-28 02:54:30.0,11.91,2019-07-28 02:54:30.0,9,2019-07-28 02:54:30.0,8.16
2019-07-28 03:24:30.0,11.41,2019-07-28 03:24:30.0,15.16,2019-07-28 03:24:30.0,14.1,2019-07-28 03:24:30.0,12.43,2019-07-28 03:24:30.0,9.02,2019-07-28 03:24:30.0,8.15
2019-07-28 03:54:30.0,11.47,2019-07-28 03:54:30.0,15.4,2019-07-28 03:54:30.0,14.3,2019-07-28 03:54:30.0,12.99,2019-07-28 03:54:30.0,9.04,2019-07-28 03:54:30.0,8.15
2019-07-28 04:24:40.0,11.51,2019-07-28 04:24:40.0,15.66,2019-07-28 04:24:40.0,14.35,2019-07-28 04:24:40.0,13.42,2019-07-28 04:24:40.0,9.12,2019-07-28 04:24:40.0,8.14
2019-07-28 04:54:40.0,11.53,2019-07-28 04:54:40.0,15.91,2019-07-28 04:54:40.0,14.34,2019-07-28 04:54:40.0,13.73,2019-07-28 04:54:40.0,9.23,2019-07-28 04:54:40.0,8.14
2019-07-28 05:24:40.0,11.54,2019-07-28 05:24:40.0,16.17,2019-07-28 05:24:40.0,14.33,2019-07-28 05:24:40.0,13.93,2019-07-28 05:24:40.0,9.38,2019-07-28 05:24:40.0,8.15
2019-07-28 05:54:40.0,11.55,2019-07-28 05:54:40.0,16.45,2019-07-28 05:54:40.0,14.3,2019-07-28 05:54:40.0,14.05,2019-07-28 05:54:40.0,9.54,2019-07-28 05:54:40.0,8.14
2019-07-28 06:24:40.0,11.56,2019-07-28 06:24:40.0,16.7,2019-07-28 06:24:40.0,14.28,2019-07-28 06:24:40.0,14.13,2019-07-28 06:24:40.0,9.7,2019-07-28 06:24:40.0,8.15
2019-07-28 06:54:40.0,11.56,2019-07-28 06:54:40.0,16.85,2019-07-28 06:54:40.0,14.26,2019-07-28 06:54:40.0,14.19,2019-07-28 06:54:40.0,9.84,2019-07-28 06:54:40.0,8.15
2019-07-28 07:24:52.0,11.56,2019-07-28 07:24:52.0,16.89,2019-07-28 07:24:52.0,14.26,2019-07-28 07:24:52.0,14.22,2019-07-28 07:24:52.0,9.97,2019-07-28 07:24:52.0,8.15
2019-07-28 07:54:52.0,11.57,2019-07-28 07:54:52.0,16.9,2019-07-28 07:54:52.0,14.25,2019-07-28 07:54:52.0,14.24,2019-07-28 07:54:52.0,10.07,2019-07-28 07:54:52.0,8.16
2019-07-28 08:24:52.0,11.57,2019-07-28 08:24:52.0,16.89,2019-07-28 08:24:52.0,14.24,2019-07-28 08:24:52.0,14.24,2019-07-28 08:24:52.0,10.16,2019-07-28 08:24:52.0,8.16
2019-07-28 08:54:52.0,11.57,2019-07-28 08:54:52.0,16.84,2019-07-28 08:54:52.0,14.23,2019-07-28 08:54:52.0,14.24,2019-07-28 08:54:52.0,10.23,2019-07-28 08:54:52.0,8.17
2019-07-28 09:24:52.0,11.56,2019-07-28 09:24:52.0,16.84,2019-07-28 09:24:52.0,14.23,2019-07-28 09:24:52.0,14.23,2019-07-28 09:24:52.0,10.3,2019-07-28 09:24:52.0,8.17
2019-07-28 09:54:52.0,11.53,2019-07-28 09:54:52.0,16.85,2019-07-28 09:54:52.0,14.24,2019-07-28 09:54:52.0,14.22,2019-07-28 09:54:52.0,10.36,2019-07-28 09:54:52.0,8.18
2019-07-28 10:25:02.0,11.48,2019-07-28 10:25:02.0,16.82,2019-07-28 10:25:02.0,14.22,2019-07-28 10:25:02.0,14.19,2019-07-28 10:25:02.0,10.4,2019-07-28 10:25:02.0,8.18
2019-07-28 10:55:02.0,11.41,2019-07-28 10:55:02.0,16.83,2019-07-28 10:55:02.0,14.2,2019-07-28 10:55:02.0,14.17,2019-07-28 10:55:02.0,10.42,2019-07-28 10:55:02.0,8.18
2019-07-28 11:25:02.0,11.31,2019-07-28 11:25:02.0,16.84,2019-07-28 11:25:02.0,14.17,2019-07-28 11:25:02.0,14.14,2019-07-28 11:25:02.0,10.44,2019-07-28 11:25:02.0,8.19
2019-07-28 11:55:02.0,11.17,2019-07-28 11:55:02.0,16.86,2019-07-28 11:55:02.0,14.14,2019-07-28 11:55:02.0,14.1,2019-07-28 11:55:02.0,10.46,2019-07-28 11:55:02.0,8.19
2019-07-28 12:25:02.0,11.02,2019-07-28 12:25:02.0,16.86,2019-07-28 12:25:02.0,14.11,2019-07-28 12:25:02.0,14.07,2019-07-28 12:25:02.0,10.48,2019-07-28 12:25:02.0,8.2
2019-07-28 12:55:02.0,10.86,2019-07-28 12:55:02.0,16.75,2019-07-28 12:55:02.0,14.07,2019-07-28 12:55:02.0,14.04,2019-07-28 12:55:02.0,10.49,2019-07-28 12:55:02.0,8.2
2019-07-28 13:25:10.0,10.71,2019-07-28 13:25:10.0,16.56,2019-07-28 13:25:10.0,14.03,2019-07-28 13:25:10.0,14,2019-07-28 13:25:10.0,10.5,2019-07-28 13:25:10.0,8.21
2019-07-28 13:55:10.0,10.52,2019-07-28 13:55:10.0,16.39,2019-07-28 13:55:10.0,13.99,2019-07-28 13:55:10.0,13.96,2019-07-28 13:55:10.0,10.5,2019-07-28 13:55:10.0,8.21
2019-07-28 14:25:10.0,10.36,2019-07-28 14:25:10.0,16.25,2019-07-28 14:25:10.0,13.86,2019-07-28 14:25:10.0,13.93,2019-07-28 14:25:10.0,10.5,2019-07-28 14:25:10.0,8.22
2019-07-28 14:55:10.0,10.18,2019-07-28 14:55:10.0,16.08,2019-07-28 14:55:10.0,13.72,2019-07-28 14:55:10.0,13.89,2019-07-28 14:55:10.0,10.5,2019-07-28 14:55:10.0,8.22
2019-07-28 15:25:10.0,9.94,2019-07-28 15:25:10.0,15.92,2019-07-28 15:25:10.0,13.62,2019-07-28 15:25:10.0,13.85,2019-07-28 15:25:10.0,10.5,2019-07-28 15:25:10.0,8.22
2019-07-28 15:55:10.0,9.73,2019-07-28 15:55:10.0,15.78,2019-07-28 15:55:10.0,13.56,2019-07-28 15:55:10.0,13.83,2019-07-28 15:55:10.0,10.49,2019-07-28 15:55:10.0,8.23
2019-07-28 16:25:20.0,9.53,2019-07-28 16:25:20.0,15.62,2019-07-28 16:25:20.0,13.47,2019-07-28 16:25:20.0,13.8,2019-07-28 16:25:20.0,10.48,2019-07-28 16:25:20.0,8.23
2019-07-28 16:55:20.0,9.33,2019-07-28 16:55:20.0,15.5,2019-07-28 16:55:20.0,13.4,2019-07-28 16:55:20.0,13.76,2019-07-28 16:55:20.0,10.47,2019-07-28 16:55:20.0,8.23
2019-07-28 17:25:20.0,9.18,2019-07-28 17:25:20.0,15.38,2019-07-28 17:25:20.0,13.34,2019-07-28 17:25:20.0,13.73,2019-07-28 17:25:20.0,10.46,2019-07-28 17:25:20.0,8.24
2019-07-28 17:55:20.0,9.03,2019-07-28 17:55:20.0,15.27,2019-07-28 17:55:20.0,13.28,2019-07-28 17:55:20.0,13.7,2019-07-28 17:55:20.0,10.45,2019-07-28 17:55:20.0,8.24
2019-07-28 18:25:20.0,8.91,2019-07-28 18:25:20.0,15.17,2019-07-28 18:25:20.0,13.27,2019-07-28 18:25:20.0,13.67,2019-07-28 18:25:20.0,10.44,2019-07-28 18:25:20.0,8.24
2019-07-28 18:55:20.0,8.8,2019-07-28 18:55:20.0,15.08,2019-07-28 18:55:20.0,13.22,2019-07-28 18:55:20.0,13.64,2019-07-28 18:55:20.0,10.44,2019-07-28 18:55:20.0,8.24
2019-07-28 19:25:28.0,8.74,2019-07-28 19:25:28.0,15,2019-07-28 19:25:28.0,13.17,2019-07-28 19:25:28.0,13.62,2019-07-28 19:25:28.0,10.43,2019-07-28 19:25:28.0,8.25
2019-07-28 19:55:28.0,8.7,2019-07-28 19:55:28.0,14.89,2019-07-28 19:55:28.0,13.13,2019-07-28 19:55:28.0,13.59,2019-07-28 19:55:28.0,10.41,2019-07-28 19:55:28.0,8.25
2019-07-28 20:25:28.0,8.66,2019-07-28 20:25:28.0,14.77,2019-07-28 20:25:28.0,13.08,2019-07-28 20:25:28.0,13.56,2019-07-28 20:25:28.0,10.41,2019-07-28 20:25:28.0,8.25
2019-07-28 20:55:28.0,8.6,2019-07-28 20:55:28.0,14.68,2019-07-28 20:55:28.0,13.03,2019-07-28 20:55:28.0,13.54,2019-07-28 20:55:28.0,10.4,2019-07-28 20:55:28.0,8.25
2019-07-28 21:25:28.0,8.55,2019-07-28 21:25:28.0,14.61,2019-07-28 21:25:28.0,13,2019-07-28 21:25:28.0,13.52,2019-07-28 21:25:28.0,10.38,2019-07-28 21:25:28.0,8.25
2019-07-28 21:55:28.0,8.6,2019-07-28 21:55:28.0,14.55,2019-07-28 21:55:28.0,12.97,2019-07-28 21:55:28.0,13.49,2019-07-28 21:55:28.0,10.37,2019-07-28 21:55:28.0,8.25
2019-07-28 22:25:36.0,8.58,2019-07-28 22:25:36.0,14.5,2019-07-28 22:25:36.0,12.95,2019-07-28 22:25:36.0,13.48,2019-07-28 22:25:36.0,10.36,2019-07-28 22:25:36.0,8.26
2019-07-28 22:55:36.0,8.56,2019-07-28 22:55:36.0,14.47,2019-07-28 22:55:36.0,12.91,2019-07-28 22:55:36.0,13.46,2019-07-28 22:55:36.0,10.36,2019-07-28 22:55:36.0,8.26
2019-07-28 23:25:36.0,8.54,2019-07-28 23:25:36.0,14.45,2019-07-28 23:25:36.0,12.87,2019-07-28 23:25:36.0,13.44,2019-07-28 23:25:36.0,10.35,2019-07-28 23:25:36.0,8.26
2019-07-28 23:55:36.0,8.53,2019-07-28 23:55:36.0,14.42,2019-07-28 23:55:36.0,12.85,2019-07-28 23:55:36.0,13.42,2019-07-28 23:55:36.0,10.34,2019-07-28 23:55:36.0,8.26
2019-07-29 00:25:36.0,8.51,2019-07-29 00:25:36.0,14.41,2019-07-29 00:25:36.0,12.81,2019-07-29 00:25:36.0,13.4,2019-07-29 00:25:36.0,10.32,2019-07-29 00:25:36.0,8.26
2019-07-29 00:55:36.0,8.52,2019-07-29 00:55:36.0,14.39,2019-07-29 00:55:36.0,12.78,2019-07-29 00:55:36.0,13.39,2019-07-29 00:55:36.0,10.32,2019-07-29 00:55:36.0,8.27
2019-07-29 01:25:46.0,8.5,2019-07-29 01:25:46.0,14.38,2019-07-29 01:25:46.0,12.75,2019-07-29 01:25:46.0,13.37,2019-07-29 01:25:46.0,10.3,2019-07-29 01:25:46.0,8.26
2019-07-29 01:55:46.0,8.42,2019-07-29 01:55:46.0,14.37,2019-07-29 01:55:46.0,12.73,2019-07-29 01:55:46.0,13.35,2019-07-29 01:55:46.0,10.29,2019-07-29 01:55:46.0,8.27
2019-07-29 02:25:46.0,8.43,2019-07-29 02:25:46.0,14.32,2019-07-29 02:25:46.0,12.71,2019-07-29 02:25:46.0,13.32,2019-07-29 02:25:46.0,10.29,2019-07-29 02:25:46.0,8.27
2019-07-29 02:55:46.0,11.11,2019-07-29 02:55:46.0,14.86,2019-07-29 02:55:46.0,12.68,2019-07-29 02:55:46.0,13.34,2019-07-29 02:55:46.0,10.32,2019-07-29 02:55:46.0,8.33
2019-07-29 03:25:46.0,11.34,2019-07-29 03:25:46.0,15.21,2019-07-29 03:25:46.0,12.95,2019-07-29 03:25:46.0,13.33,2019-07-29 03:25:46.0,10.3,2019-07-29 03:25:46.0,8.33
2019-07-29 03:55:46.0,11.44,2019-07-29 03:55:46.0,15.44,2019-07-29 03:55:46.0,13.21,2019-07-29 03:55:46.0,13.34,2019-07-29 03:55:46.0,10.29,2019-07-29 03:55:46.0,8.33
2019-07-29 04:25:56.0,11.51,2019-07-29 04:25:56.0,15.63,2019-07-29 04:25:56.0,13.35,2019-07-29 04:25:56.0,13.36,2019-07-29 04:25:56.0,10.29,2019-07-29 04:25:56.0,8.32
2019-07-29 04:55:56.0,11.57,2019-07-29 04:55:56.0,15.76,2019-07-29 04:55:56.0,13.5,2019-07-29 04:55:56.0,13.4,2019-07-29 04:55:56.0,10.28,2019-07-29 04:55:56.0,8.32
2019-07-29 05:25:56.0,11.62,2019-07-29 05:25:56.0,15.85,2019-07-29 05:25:56.0,13.59,2019-07-29 05:25:56.0,13.42,2019-07-29 05:25:56.0,10.28,2019-07-29 05:25:56.0,8.32
2019-07-29 05:55:56.0,11.66,2019-07-29 05:55:56.0,15.94,2019-07-29 05:55:56.0,13.65,2019-07-29 05:55:56.0,13.46,2019-07-29 05:55:56.0,10.28,2019-07-29 05:55:56.0,8.33
2019-07-29 06:25:56.0,11.69,2019-07-29 06:25:56.0,16.01,2019-07-29 06:25:56.0,13.72,2019-07-29 06:25:56.0,13.48,2019-07-29 06:25:56.0,10.28,2019-07-29 06:25:56.0,8.32
2019-07-29 06:55:56.0,11.72,2019-07-29 06:55:56.0,16.08,2019-07-29 06:55:56.0,13.76,2019-07-29 06:55:56.0,13.53,2019-07-29 06:55:56.0,10.29,2019-07-29 06:55:56.0,8.32
2019-07-29 07:26:06.0,11.73,2019-07-29 07:26:06.0,16.14,2019-07-29 07:26:06.0,13.8,2019-07-29 07:26:06.0,13.55,2019-07-29 07:26:06.0,10.29,2019-07-29 07:26:06.0,8.32
2019-07-29 07:56:04.0,11.75,2019-07-29 07:56:04.0,16.19,2019-07-29 07:56:04.0,13.82,2019-07-29 07:56:04.0,13.57,2019-07-29 07:56:04.0,10.3,2019-07-29 07:56:04.0,8.32
2019-07-29 08:26:04.0,11.77,2019-07-29 08:26:04.0,16.24,2019-07-29 08:26:04.0,13.85,2019-07-29 08:26:04.0,13.59,2019-07-29 08:26:04.0,10.3,2019-07-29 08:26:04.0,8.32
2019-07-29 08:56:04.0,11.78,2019-07-29 08:56:04.0,16.27,2019-07-29 08:56:04.0,13.86,2019-07-29 08:56:04.0,13.6,2019-07-29 08:56:04.0,10.31,2019-07-29 08:56:04.0,8.32
2019-07-29 09:26:04.0,11.77,2019-07-29 09:26:04.0,16.28,2019-07-29 09:26:04.0,13.85,2019-07-29 09:26:04.0,13.61,2019-07-29 09:26:04.0,10.31,2019-07-29 09:26:04.0,8.32
2019-07-29 09:56:04.0,11.73,2019-07-29 09:56:04.0,16.28,2019-07-29 09:56:04.0,13.84,2019-07-29 09:56:04.0,13.63,2019-07-29 09:56:04.0,10.32,2019-07-29 09:56:04.0,8.32
2019-07-29 10:26:14.0,11.69,2019-07-29 10:26:14.0,16.26,2019-07-29 10:26:14.0,13.8,2019-07-29 10:26:14.0,13.63,2019-07-29 10:26:14.0,10.33,2019-07-29 10:26:14.0,8.32
2019-07-29 10:56:14.0,11.63,2019-07-29 10:56:14.0,16.21,2019-07-29 10:56:14.0,13.75,2019-07-29 10:56:14.0,13.63,2019-07-29 10:56:14.0,10.34,2019-07-29 10:56:14.0,8.32
2019-07-29 11:26:14.0,11.56,2019-07-29 11:26:14.0,16.15,2019-07-29 11:26:14.0,13.67,2019-07-29 11:26:14.0,13.63,2019-07-29 11:26:14.0,10.34,2019-07-29 11:26:14.0,8.32
2019-07-29 11:56:14.0,11.47,2019-07-29 11:56:14.0,16.09,2019-07-29 11:56:14.0,13.61,2019-07-29 11:56:14.0,13.63,2019-07-29 11:56:14.0,10.35,2019-07-29 11:56:14.0,8.32
2019-07-29 12:26:14.0,11.35,2019-07-29 12:26:14.0,16.01,2019-07-29 12:26:14.0,13.57,2019-07-29 12:26:14.0,13.62,2019-07-29 12:26:14.0,10.36,2019-07-29 12:26:14.0,8.32
2019-07-29 12:56:14.0,11.19,2019-07-29 12:56:14.0,15.91,2019-07-29 12:56:14.0,13.53,2019-07-29 12:56:14.0,13.62,2019-07-29 12:56:14.0,10.36,2019-07-29 12:56:14.0,8.32
2019-07-29 13:26:24.0,11.03,2019-07-29 13:26:24.0,15.82,2019-07-29 13:26:24.0,13.48,2019-07-29 13:26:24.0,13.6,2019-07-29 13:26:24.0,10.36,2019-07-29 13:26:24.0,8.32
2019-07-29 13:56:24.0,10.87,2019-07-29 13:56:24.0,15.73,2019-07-29 13:56:24.0,13.43,2019-07-29 13:56:24.0,13.59,2019-07-29 13:56:24.0,10.37,2019-07-29 13:56:24.0,8.32
2019-07-29 14:26:24.0,10.71,2019-07-29 14:26:24.0,15.62,2019-07-29 14:26:24.0,13.38,2019-07-29 14:26:24.0,13.58,2019-07-29 14:26:24.0,10.36,2019-07-29 14:26:24.0,8.32
2019-07-29 14:56:24.0,10.51,2019-07-29 14:56:24.0,15.51,2019-07-29 14:56:24.0,13.33,2019-07-29 14:56:24.0,13.56,2019-07-29 14:56:24.0,10.36,2019-07-29 14:56:24.0,8.31
2019-07-29 15:26:24.0,10.3,2019-07-29 15:26:24.0,15.42,2019-07-29 15:26:24.0,13.29,2019-07-29 15:26:24.0,13.56,2019-07-29 15:26:24.0,10.36,2019-07-29 15:26:24.0,8.31
2019-07-29 15:56:24.0,10.07,2019-07-29 15:56:24.0,15.33,2019-07-29 15:56:24.0,13.26,2019-07-29 15:56:24.0,13.56,2019-07-29 15:56:24.0,10.36,2019-07-29 15:56:24.0,8.31
2019-07-29 16:26:32.0,9.84,2019-07-29 16:26:32.0,15.23,2019-07-29 16:26:32.0,13.24,2019-07-29 16:26:32.0,13.55,2019-07-29 16:26:32.0,10.36,2019-07-29 16:26:32.0,8.31
2019-07-29 16:56:32.0,9.66,2019-07-29 16:56:32.0,15.14,2019-07-29 16:56:32.0,13.2,2019-07-29 16:56:32.0,13.54,2019-07-29 16:56:32.0,10.36,2019-07-29 16:56:32.0,8.31
2019-07-29 17:26:32.0,9.5,2019-07-29 17:26:32.0,15.05,2019-07-29 17:26:32.0,13.15,2019-07-29 17:26:32.0,13.53,2019-07-29 17:26:32.0,10.36,2019-07-29 17:26:32.0,8.31
2019-07-29 17:56:32.0,9.35,2019-07-29 17:56:32.0,14.96,2019-07-29 17:56:32.0,13.11,2019-07-29 17:56:32.0,13.51,2019-07-29 17:56:32.0,10.35,2019-07-29 17:56:32.0,8.31
2019-07-29 18:26:32.0,9.23,2019-07-29 18:26:32.0,14.84,2019-07-29 18:26:32.0,13.07,2019-07-29 18:26:32.0,13.5,2019-07-29 18:26:32.0,10.35,2019-07-29 18:26:32.0,8.31
2019-07-29 18:56:32.0,9.18,2019-07-29 18:56:32.0,14.72,2019-07-29 18:56:32.0,13.02,2019-07-29 18:56:32.0,13.48,2019-07-29 18:56:32.0,10.35,2019-07-29 18:56:32.0,8.31
2019-07-29 19:26:40.0,9.11,2019-07-29 19:26:40.0,14.61,2019-07-29 19:26:40.0,12.99,2019-07-29 19:26:40.0,13.46,2019-07-29 19:26:40.0,10.34,2019-07-29 19:26:40.0,8.3
2019-07-29 19:56:40.0,9.07,2019-07-29 19:56:40.0,14.53,2019-07-29 19:56:40.0,12.97,2019-07-29 19:56:40.0,13.46,2019-07-29 19:56:40.0,10.34,2019-07-29 19:56:40.0,8.3
2019-07-29 20:26:40.0,9.03,2019-07-29 20:26:40.0,14.48,2019-07-29 20:26:40.0,12.94,2019-07-29 20:26:40.0,13.44,2019-07-29 20:26:40.0,10.33,2019-07-29 20:26:40.0,8.3
2019-07-29 20:56:40.0,8.99,2019-07-29 20:56:40.0,14.45,2019-07-29 20:56:40.0,12.91,2019-07-29 20:56:40.0,13.44,2019-07-29 20:56:40.0,10.33,2019-07-29 20:56:40.0,8.3
2019-07-29 21:26:40.0,8.97,2019-07-29 21:26:40.0,14.43,2019-07-29 21:26:40.0,12.88,2019-07-29 21:26:40.0,13.42,2019-07-29 21:26:40.0,10.32,2019-07-29 21:26:40.0,8.31
2019-07-29 21:56:40.0,8.93,2019-07-29 21:56:40.0,14.4,2019-07-29 21:56:40.0,12.86,2019-07-29 21:56:40.0,13.41,2019-07-29 21:56:40.0,10.32,2019-07-29 21:56:40.0,8.3
2019-07-29 22:26:40.0,8.91,2019-07-29 22:26:40.0,14.38,2019-07-29 22:26:40.0,12.83,2019-07-29 22:26:40.0,13.4,2019-07-29 22:26:40.0,10.32,2019-07-29 22:26:40.0,8.3
2019-07-29 22:56:50.0,8.9,2019-07-29 22:56:50.0,14.38,2019-07-29 22:56:50.0,12.8,2019-07-29 22:56:50.0,13.39,2019-07-29 22:56:50.0,10.31,2019-07-29 22:56:50.0,8.31
2019-07-29 23:26:50.0,8.9,2019-07-29 23:26:50.0,14.36,2019-07-29 23:26:50.0,12.77,2019-07-29 23:26:50.0,13.38,2019-07-29 23:26:50.0,10.31,2019-07-29 23:26:50.0,8.31
2019-07-29 23:56:50.0,8.9,2019-07-29 23:56:50.0,14.34,2019-07-29 23:56:50.0,12.75,2019-07-29 23:56:50.0,13.37,2019-07-29 23:56:50.0,10.31,2019-07-29 23:56:50.0,8.31
2019-07-30 00:26:50.0,8.89,2019-07-30 00:26:50.0,14.33,2019-07-30 00:26:50.0,12.73,2019-07-30 00:26:50.0,13.36,2019-07-30 00:26:50.0,10.3,2019-07-30 00:26:50.0,8.31
2019-07-30 00:56:50.0,8.88,2019-07-30 00:56:50.0,14.32,2019-07-30 00:56:50.0,12.71,2019-07-30 00:56:50.0,13.35,2019-07-30 00:56:50.0,10.3,2019-07-30 00:56:50.0,8.31
2019-07-30 01:26:50.0,8.87,2019-07-30 01:26:50.0,14.3,2019-07-30 01:26:50.0,12.69,2019-07-30 01:26:50.0,13.34,2019-07-30 01:26:50.0,10.29,2019-07-30 01:26:50.0,8.31
2019-07-30 01:56:58.0,8.84,2019-07-30 01:56:58.0,14.29,2019-07-30 01:56:58.0,12.67,2019-07-30 01:56:58.0,13.32,2019-07-30 01:56:58.0,10.29,2019-07-30 01:56:58.0,8.31
2019-07-30 02:26:58.0,8.82,2019-07-30 02:26:58.0,14.27,2019-07-30 02:26:58.0,12.65,2019-07-30 02:26:58.0,13.32,2019-07-30 02:26:58.0,10.28,2019-07-30 02:26:58.0,8.31
2019-07-30 02:56:58.0,8.82,2019-07-30 02:56:58.0,14.26,2019-07-30 02:56:58.0,12.63,2019-07-30 02:56:58.0,13.31,2019-07-30 02:56:58.0,10.28,2019-07-30 02:56:58.0,8.31
2019-07-30 03:26:58.0,8.82,2019-07-30 03:26:58.0,14.25,2019-07-30 03:26:58.0,12.62,2019-07-30 03:26:58.0,13.3,2019-07-30 03:26:58.0,10.28,2019-07-30 03:26:58.0,8.31
2019-07-30 03:56:58.0,8.82,2019-07-30 03:56:58.0,14.23,2019-07-30 03:56:58.0,12.6,2019-07-30 03:56:58.0,13.29,2019-07-30 03:56:58.0,10.27,2019-07-30 03:56:58.0,8.31
2019-07-30 04:26:58.0,8.82,2019-07-30 04:26:58.0,14.22,2019-07-30 04:26:58.0,12.59,2019-07-30 04:26:58.0,13.28,2019-07-30 04:26:58.0,10.28,2019-07-30 04:26:58.0,8.31
2019-07-30 04:57:08.0,8.81,2019-07-30 04:57:08.0,14.21,2019-07-30 04:57:08.0,12.58,2019-07-30 04:57:08.0,13.27,2019-07-30 04:57:08.0,10.27,2019-07-30 04:57:08.0,8.31
2019-07-30 05:27:08.0,8.8,2019-07-30 05:27:08.0,14.19,2019-07-30 05:27:08.0,12.57,2019-07-30 05:27:08.0,13.26,2019-07-30 05:27:08.0,10.26,2019-07-30 05:27:08.0,8.31
2019-07-30 05:57:08.0,8.79,2019-07-30 05:57:08.0,14.18,2019-07-30 05:57:08.0,12.55,2019-07-30 05:57:08.0,13.25,2019-07-30 05:57:08.0,10.26,2019-07-30 05:57:08.0,8.31
2019-07-30 06:27:08.0,8.79,2019-07-30 06:27:08.0,14.17,2019-07-30 06:27:08.0,12.54,2019-07-30 06:27:08.0,13.25,2019-07-30 06:27:08.0,10.26,2019-07-30 06:27:08.0,8.31
2019-07-30 06:57:08.0,8.78,2019-07-30 06:57:08.0,14.16,2019-07-30 06:57:08.0,12.53,2019-07-30 06:57:08.0,13.24,2019-07-30 06:57:08.0,10.25,2019-07-30 06:57:08.0,8.31
2019-07-30 07:27:08.0,8.77,2019-07-30 07:27:08.0,14.15,2019-07-30 07:27:08.0,12.52,2019-07-30 07:27:08.0,13.23,2019-07-30 07:27:08.0,10.25,2019-07-30 07:27:08.0,8.31
2019-07-30 07:57:16.0,9.22,2019-07-30 07:57:16.0,14.06,2019-07-30 07:57:16.0,12.48,2019-07-30 07:57:16.0,13.23,2019-07-30 07:57:16.0,10.3,2019-07-30 07:57:16.0,8.38
2019-07-30 08:27:16.0,9.75,2019-07-30 08:27:16.0,14.16,2019-07-30 08:27:16.0,12.47,2019-07-30 08:27:16.0,13.23,2019-07-30 08:27:16.0,10.28,2019-07-30 08:27:16.0,8.37
2019-07-30 08:57:16.0,9.89,2019-07-30 08:57:16.0,14.52,2019-07-30 08:57:16.0,12.51,2019-07-30 08:57:16.0,13.23,2019-07-30 08:57:16.0,10.27,2019-07-30 08:57:16.0,8.36
2019-07-30 09:27:16.0,9.98,2019-07-30 09:27:16.0,14.68,2019-07-30 09:27:16.0,12.61,2019-07-30 09:27:16.0,13.22,2019-07-30 09:27:16.0,10.27,2019-07-30 09:27:16.0,8.35
2019-07-30 09:57:16.0,10.05,2019-07-30 09:57:16.0,14.79,2019-07-30 09:57:16.0,12.74,2019-07-30 09:57:16.0,13.22,2019-07-30 09:57:16.0,10.27,2019-07-30 09:57:16.0,8.35
2019-07-30 10:27:16.0,10.09,2019-07-30 10:27:16.0,14.87,2019-07-30 10:27:16.0,12.84,2019-07-30 10:27:16.0,13.21,2019-07-30 10:27:16.0,10.26,2019-07-30 10:27:16.0,8.35
2019-07-30 10:57:24.0,10.1,2019-07-30 10:57:24.0,14.91,2019-07-30 10:57:24.0,12.91,2019-07-30 10:57:24.0,13.2,2019-07-30 10:57:24.0,10.25,2019-07-30 10:57:24.0,8.34
2019-07-30 11:27:24.0,10.08,2019-07-30 11:27:24.0,14.93,2019-07-30 11:27:24.0,12.95,2019-07-30 11:27:24.0,13.2,2019-07-30 11:27:24.0,10.26,2019-07-30 11:27:24.0,8.34
2019-07-30 11:57:24.0,10.02,2019-07-30 11:57:24.0,14.91,2019-07-30 11:57:24.0,12.97,2019-07-30 11:57:24.0,13.18,2019-07-30 11:57:24.0,10.25,2019-07-30 11:57:24.0,8.35
2019-07-30 12:27:24.0,9.93,2019-07-30 12:27:24.0,14.88,2019-07-30 12:27:24.0,12.97,2019-07-30 12:27:24.0,13.18,2019-07-30 12:27:24.0,10.25,2019-07-30 12:27:24.0,8.34
